wallet_id,wallet_address,wallet_type,primary_chain,country,risk_level,first_seen_date,is_kyc_verified,label
19,0xe6a9104c68e9b9ab42c57d3d59eb3f6f81678c25,exchange,optimism,BR,low,2023-05-13,0,
20,0x570a1dd57a13309c4d047a3eea612c5d30f3421f,contract,solana,US,high,2023-06-23,1,
21,0xd71825050a607be2bb50948a7c044c7657240d09,contract,optimism,AE,high,2023-07-24,1,whale
22,0xe552d4ad847df8a55f7035b0839f6d28f2851045,multisig,optimism,CA,low,2023-02-17,1,
23,0x561e457b77e35d6dea374a7ea4f36c4cb483fc1e,contract,arbitrum,AU,low,2023-05-24,0,whale
24,0xa4d34768d17f6dd9fb63a3d9d2e579063779c1e5,defi_protocol,optimism,BR,low,2023-04-24,1,
25,0xa3015c0d566326f175c0622a76924d161664d319,eoa,arbitrum,US,low,2023-07-10,1,team_wallet
26,0x809f5e41f8775d817d192cccbf42d4f942872b74,defi_protocol,arbitrum,AE,low,2023-02-28,0,whale
27,0x2a598586824fb55b558f2cb65128653bfba93adb,multisig,binance_smart_chain,JP,low,2023-03-15,0,whale
28,0xe659a8fd618f937f15907a5398293b6ac588c9c2,contract,solana,AE,low,2023-05-15,0,
29,0xf6c96e89583c19f9a4f57e66db99deacc1cef7f5,exchange,arbitrum,IN,medium,2023-11-06,1,team_wallet
30,0xf7f4a63e5655fd5721702afdd5ce8d659c7947ea,exchange,arbitrum,US,low,2023-06-26,0,
31,0xb119f1178739a087f3f873ac97c8478c7d0fb815,eoa,arbitrum,IN,medium,2023-05-21,1,team_wallet
32,0x15906d0711c89820a3784c79a90a5911c4ea24d5,multisig,polygon,DE,medium,2023-01-13,1,
33,0xb8638a6d02069c28845af17b06e35608e6372abe,contract,arbitrum,AE,low,2023-08-02,0,
34,0x55c8df1d032fa3799b5a88449f01ac47dd0f574a,eoa,binance_smart_chain,DE,low,2023-05-22,1,
35,0x2771f1fbe68f263e688f6a6a12c9967abf41e275,contract,arbitrum,DE,high,2023-06-21,1,investor
36,0x853afe02c5de82e5f26214751be9c87aca70b2a8,contract,polygon,DE,medium,2023-02-02,0,
37,0x7f880a32a3a2f38ad3687f5c3d665e4aad3f5e53,contract,arbitrum,BR,medium,2023-03-11,1,vip_user
38,0x734b18ad57ca62bdd25c5077412e381ae8f7111e,exchange,polygon,AE,low,2023-12-04,1,whale
39,0x3088b7c8dfb4edbedc04320924ea79a876990959,defi_protocol,optimism,US,low,2023-07-22,1,
40,0x1fc629fbca6b2e4678fe46fdce94124df07259d6,defi_protocol,ethereum,DE,low,2023-08-12,1,vip_user
41,0xa708edf7a728dfaa3a6e333126b036435ead3358,defi_protocol,binance_smart_chain,US,low,2023-03-05,1,vip_user
42,0xb05ff0d96c31c88bce6587d2496e14d49a69f704,multisig,solana,UK,medium,2023-07-26,1,
43,0xbb9bcbd2476a3a41a8356a721fca4dda2bd9dd70,defi_protocol,optimism,JP,low,2023-11-11,1,whale
44,0x33fd56b14d2ba909a4ac2628def3c45ce1d5fc47,defi_protocol,polygon,FR,low,2023-12-22,1,vip_user
45,0x7322cfca92664cd88642d1b9691681be134508a6,exchange,arbitrum,KR,low,2023-03-17,0,
46,0xb260c38c37d9920cdc9111dc9eb303dc8c3277ac,multisig,polygon,BR,low,2023-07-01,1,
47,0xa8a59ba2a1cacbd736cd601900697cb711ee1eca,contract,optimism,AE,low,2023-05-06,0,
48,0x71f3ac17e34cdfa8c11291b1e5c87d64e30f4905,eoa,arbitrum,CA,medium,2023-02-06,1,vip_user
49,0x2ff13a381022e49c235daa53b6631886713d67ef,exchange,arbitrum,UK,low,2023-09-06,1,investor
50,0x03580616bd3cc6f8c9a49d5701c40b630f6e8de3,contract,optimism,UK,medium,2023-10-07,1,
51,0x6d80ea3d329e47fd25d0fdae4470ebdc8e962427,contract,polygon,IN,low,2023-03-21,1,
52,0xece7dec6a3c438793a468ef92c149294b01cdac4,contract,optimism,KR,medium,2023-07-17,1,
53,0x0be1d0de4d328587f761cbfd41cc070a3d0ab31d,defi_protocol,solana,AU,low,2023-02-26,1,
54,0x6f622ae8ef8c1a481f773e04429a2444603f0731,multisig,polygon,US,high,2023-05-06,1,investor
55,0x2bd682e309d5d943f4ffeea2c67b431a7e20afdd,defi_protocol,arbitrum,AE,low,2023-12-12,1,
56,0xcce46c40d55b7bdbce0cc452ac0c150f2d447cac,contract,optimism,AE,medium,2023-05-07,0,
57,0xa2ddbbc2b5024f4ab383b209d0fc906e39761c34,eoa,solana,SG,low,2023-10-03,0,
58,0x625ea69b905cf027509f1a290f970be6470400ca,multisig,binance_smart_chain,SG,medium,2023-03-25,1,
59,0x73b8121a9eb3a053970c76a6f4bca07b608462ad,contract,polygon,JP,medium,2023-05-25,1,investor
60,0x831832abaec20bf6c63beccbb69f4867d6335ebc,eoa,optimism,CA,low,2023-12-28,1,whale
61,0xd886574f44d3489040eb425c829e1fc227e5f707,exchange,arbitrum,IN,low,2023-06-23,1,
62,0xc8d1d3374ba0c92d993d3affc5501d102a3a6d29,contract,ethereum,US,low,2023-05-11,1,vip_user
63,0x8b660fe4226e7d469fe60bd946ee227813d3d41f,defi_protocol,arbitrum,SG,low,2023-08-22,0,team_wallet
64,0xc8b493760ff926282df04fbd18c94270890e9517,multisig,ethereum,CA,low,2023-12-01,1,whale
65,0xbcc8f302f5fa8781600694a766be82674b6eb46d,exchange,binance_smart_chain,JP,medium,2023-04-20,1,vip_user
66,0x3346d16a84ecea8ea7ffa758e6df24b671b8f767,contract,ethereum,BR,low,2023-08-24,0,vip_user
67,0xc95eeb3c7849a9c940a0964129e0182900fca225,eoa,optimism,US,low,2023-10-03,1,whale
68,0x890fa62aadb8f077851fbf163d91dc7e612e57a2,defi_protocol,arbitrum,US,low,2023-02-26,1,
69,0x87fc9f69c570b169cbb92be2dc3be7bf079aebb4,eoa,ethereum,CA,low,2023-03-27,1,investor
70,0x4d2a4332f3fbe6213e51e647f6ad0bef3acbd1cb,contract,optimism,CA,low,2023-05-27,1,whale
71,0x696638863c6a93d5af04c89ccc6c41e28cc7ac64,eoa,ethereum,AE,medium,2023-05-09,1,vip_user
72,0x4ffeab8557b21b6cb738f0f7276a16018d615f60,eoa,optimism,BR,low,2023-05-16,0,
73,0x926cbb24469fbc747c88f962ce4f5c01299b0f7b,defi_protocol,binance_smart_chain,SG,medium,2023-05-27,0,vip_user
74,0x6679d3e12d2730c1f95213076d11a2a712f81e08,contract,binance_smart_chain,AE,low,2023-04-11,1,team_wallet
75,0xcc1839623ef0d10cb8e45176f85316ebd9c0c960,multisig,arbitrum,FR,low,2023-04-18,0,
76,0x41ba851661c15b35d0e8458277d28edbeee1f51c,multisig,optimism,KR,medium,2023-10-26,1,
77,0x80e4b25db8fd289fd1ca4c4a6a5161c7c92128e8,exchange,binance_smart_chain,UK,low,2023-01-07,1,
78,0x12925fdb27005d595e40da7c961cac120b828f40,eoa,polygon,KR,low,2023-12-10,1,team_wallet
79,0xcbf6dfca11f9a2731652ff52d4754b86a5b2d2ed,contract,ethereum,BR,low,2023-06-01,1,vip_user
80,0x472b0fac50f32c8aa50ed9f12e6447056f28a999,defi_protocol,ethereum,AU,high,2023-05-16,1,
81,0x83fcc4d4a140eac9c4733027f651690cb3955e6f,eoa,optimism,JP,high,2023-09-22,1,
82,0x8fb0ac0d7c6db6c8e06f2e540bc81b356baf8c20,defi_protocol,arbitrum,CA,high,2023-08-06,1,team_wallet
83,0x25f24200cbe047ea2279c50c5459235c744e7ffe,defi_protocol,arbitrum,AE,low,2023-01-20,1,
84,0x3162a087726890d4bd6b65756d53fa7a918ec28a,eoa,ethereum,FR,low,2023-11-18,1,vip_user
85,0x56aef85b9a239851840cdf4b1fc84dc01eeaa741,multisig,optimism,KR,low,2023-12-18,1,
86,0x522571de44bcc4be42164323ca0b5153f51f0dd2,multisig,binance_smart_chain,SG,high,2023-03-02,1,investor
87,0x28e0f8daa47919ca6ded02efaf221e757c308769,exchange,binance_smart_chain,FR,medium,2023-07-12,0,vip_user
88,0x1885cb89dced7747473ed817008a812777fd56e6,contract,solana,DE,low,2023-05-22,1,
89,0x13f4eea6ffcf9e1c7a815d53542ff63a24d932f8,multisig,arbitrum,SG,medium,2023-02-20,1,vip_user
90,0xd649a158ac133ae9f397c8e3c9ec820e512bc58c,contract,polygon,IN,low,2023-05-23,1,team_wallet
91,0x0d451c974cf592ff4b0fb12ea75f235b344e479b,multisig,polygon,SG,medium,2023-09-18,1,vip_user
92,0x411bf9947bcf8e897cfc38f3cdec0c7fb72f66e8,exchange,ethereum,JP,low,2023-08-08,0,investor
93,0x0ae67e0376fe26a46e4cc5e3aaa81e8ccae0a996,multisig,polygon,FR,low,2023-03-15,1,vip_user
94,0xdf20ecc9616bf2f0c252988cfb61c6e2c8c041d8,contract,optimism,JP,high,2023-09-02,1,
95,0x0c547673bbb8be99d41d32197d8e2123f30a7497,eoa,binance_smart_chain,SG,high,2023-09-25,0,whale
96,0xcd4203dc596ecdcb5b2d0326c17b4a09881ac3c4,eoa,polygon,KR,low,2023-10-08,1,investor
97,0xa3d7b2af663a31111c5ffc7e3b0d3790326f2dc6,contract,arbitrum,AU,low,2023-10-01,1,vip_user
98,0x6c5bb24528f3171f9ca56b2fa86c76070790dbc0,eoa,optimism,SG,medium,2023-07-28,1,whale
99,0xa8ab06a64234094362b6e263f4db7e5f6013a67c,multisig,arbitrum,JP,high,2023-03-23,1,vip_user
100,0x1872392f6c197c4d12bbfcfa96c4865dbf0b8bd9,multisig,arbitrum,SG,high,2023-07-22,1,
101,0x214cd28f91b0e1c2c1d03079a9e2cfec52977d35,exchange,ethereum,CA,high,2023-07-24,1,team_wallet
102,0xc87bed7d84b19aca7a0aa880b6c2561639a221d0,eoa,arbitrum,DE,low,2023-12-09,1,
103,0x6662750fae6a08bc057e97f103d64de2cfbf1de3,eoa,polygon,FR,low,2023-05-09,1,whale
104,0x9b1e6df3359ff182c4628933499e53ff896762dd,contract,solana,JP,low,2023-01-05,0,whale
105,0xa45337dc14b13ff87506a93379f5909147670caa,exchange,optimism,JP,high,2023-11-06,1,team_wallet
106,0xd46f97fcb4faf86bf5f83914e84680f1ef211d56,defi_protocol,ethereum,FR,medium,2023-09-22,1,whale
107,0xb7b0da120b6ae5d32ed5e92fb95fe310857eb2b6,eoa,optimism,CA,low,2023-07-18,1,vip_user
108,0x493a1d98dcbab55ce406fa04a5d293f1370ac844,eoa,ethereum,SG,high,2023-04-26,0,
109,0x4d12ae8651f043ad0330e92cf36e42a4e280ef4f,exchange,polygon,JP,low,2023-03-02,1,
110,0x038c6236c5e07c7c1b9e20744b70a09c4918b1bf,exchange,polygon,KR,low,2023-08-11,1,
111,0x75253fd20c5e41257514b1a9c2120758504a18af,exchange,arbitrum,IN,medium,2023-06-09,1,team_wallet
112,0xedcef2271fd1cc541485e65df345f56dc92781dd,exchange,arbitrum,JP,high,2023-03-16,0,whale
113,0xa99f05bd76b2ce5f914b648707483f8afe7576c9,defi_protocol,binance_smart_chain,BR,medium,2023-05-18,0,team_wallet
114,0x2c931ab46ec0871a022e15ea2cd3e658142295b0,eoa,binance_smart_chain,US,high,2023-08-07,1,vip_user
115,0x78a33b938ff013f06c6577f8432691478b584e42,exchange,binance_smart_chain,JP,low,2023-12-07,1,
116,0xe9d11cc5d44b1a79a9c19f6e037ea40029dd83bb,defi_protocol,binance_smart_chain,FR,low,2023-02-05,1,
117,0xb6a20683096cad8ec98b9628bb296dc3a4050496,multisig,ethereum,JP,high,2023-01-02,1,
118,0xb8be41ea2adf8f8833596b6212754dd3de960fc6,defi_protocol,polygon,SG,medium,2023-01-06,0,vip_user
119,0x3092cc690e77b37c7092b5440583b29e47dfdb94,multisig,solana,JP,low,2023-05-01,0,
120,0xebde6413128d3cc130835c6fa4efe7f9db016635,eoa,polygon,CA,low,2023-06-11,1,investor
121,0x92461bb00b878076a7ae2750da514480c790f84d,multisig,optimism,AE,high,2023-08-21,0,
122,0x1c6053997fac10665c812bbf18d94d7de05e4cff,multisig,arbitrum,BR,low,2023-06-04,1,whale
123,0x6be6b46219c4c81ccb35cd58d14d558160e85f0a,multisig,optimism,KR,low,2023-03-12,1,vip_user
124,0x1e1a2b7b672cb91df8f8adcd9d60a29a09df6e69,multisig,solana,KR,low,2023-07-06,1,investor
125,0x960320308e7d688b76a99e8ab35af7a6d69ed18e,defi_protocol,ethereum,UK,high,2023-08-03,1,investor
126,0xbb66248483bd9cd602b1372d1a33708969139fef,multisig,binance_smart_chain,JP,low,2023-04-02,1,team_wallet
127,0x587f7058ac06caa4df053dcc46b112752aa3fa6f,defi_protocol,binance_smart_chain,DE,high,2023-01-28,1,vip_user
128,0x8139218edc6d69754159c0ec4d4776eb4a56fe3f,multisig,binance_smart_chain,KR,low,2023-03-23,1,investor
129,0xaa128f263d4afdfed179056be52f6fe7b272cb54,eoa,solana,JP,medium,2023-03-02,1,vip_user
130,0xd0236ead8466d1081892568b8ab1741f68670646,defi_protocol,solana,SG,low,2023-04-02,1,vip_user
131,0x4ee2339e23b9b7563ea55830e10638b738052ea8,eoa,arbitrum,UK,medium,2023-03-01,1,vip_user
132,0xda34830d3dde20dd9b33ef7d27287ce8c8681c78,multisig,polygon,BR,low,2023-04-14,0,vip_user
133,0xb82831bc98c785e4dce09eae69faded0de781e66,contract,binance_smart_chain,SG,low,2023-09-02,1,vip_user
134,0x4fc170bc2df4e3b015ef051daae80d1e3ccd32b8,contract,ethereum,FR,high,2023-12-02,1,
135,0x3b680d6cec485f4fba875e232464c97f3e332347,multisig,binance_smart_chain,US,low,2023-02-06,1,
136,0x3a33532b9473908edd0aa0e1b4c10c83bf4c7d26,eoa,ethereum,UK,low,2023-12-28,1,vip_user
137,0x3fbcc019efad2c66a5253f780d91fc86eab6387a,contract,binance_smart_chain,CA,medium,2023-01-14,1,whale
138,0xdcdd41b6e1052de841742f400cec49cae5573b31,exchange,solana,UK,low,2023-03-23,1,investor
139,0x577ba867e89f85bef26d949b9f6566040f0ad477,defi_protocol,ethereum,IN,low,2023-11-07,1,team_wallet
140,0x8aa2f85e10634abcb27094e6db07dc2908096249,contract,arbitrum,AU,low,2023-05-28,0,investor
141,0x303aee505f238b15fc943676bd1e98c5df907e60,eoa,polygon,AU,low,2023-03-07,1,
142,0xa40ff6e40183ee137d327294a49b1a3ca5f97067,eoa,arbitrum,AE,low,2023-04-07,1,investor
143,0x392f0d611d93ff2fe75fad39d928badd4b3ebe3f,defi_protocol,binance_smart_chain,BR,low,2023-12-19,1,team_wallet
144,0x2930e81671b4a7f527245f2e59cfa2298e15c0c3,defi_protocol,optimism,AU,medium,2023-06-25,0,
145,0x87b25d638c29dfa5c5d87e839b0a08c7ddd4753f,defi_protocol,ethereum,DE,low,2023-11-03,1,team_wallet
146,0x3b01924e88631bfda70c14576a4de77c5fe0e8ae,defi_protocol,polygon,FR,medium,2023-07-25,1,
147,0x22fdc1b82807906bacb53339284648a120262d6b,contract,optimism,JP,medium,2023-01-03,1,team_wallet
148,0xb8fcf11156a18264610a402a9b7a1fcdff6360f2,multisig,polygon,DE,high,2023-08-12,0,
149,0x4b26611cb465a71bbdaee76f3891eb1766608469,contract,polygon,IN,low,2023-05-08,1,investor
150,0x3bba0248cc260cdee5583cd626f44a72974f5117,defi_protocol,polygon,AU,low,2023-11-09,0,
151,0xb69a03799d20441081ff31d42deda0ce7999926d,defi_protocol,solana,US,medium,2023-08-09,1,vip_user
152,0xc02c75da45e789e06a2d69bfa0ffab07e2282fcf,exchange,polygon,BR,medium,2023-05-18,1,
153,0x65c557c1bfc93ad7dc1abd95f054acfe5926a35b,defi_protocol,arbitrum,BR,low,2023-09-12,1,
154,0xf839677ac623bdda10363bfe80b825ff9353e5e4,defi_protocol,ethereum,AU,low,2023-10-14,1,investor
155,0x6c52ec611e81f59a26c05a2e1b26a9102da06726,exchange,arbitrum,FR,high,2023-08-01,1,whale
156,0x2de62fb6ad7667497ba8c3bc73d0dc47f5a39580,defi_protocol,arbitrum,JP,low,2023-06-11,1,investor
157,0x3c34978a0b7203195ed54454b5aa9a003cce758f,eoa,polygon,KR,low,2023-12-10,1,
158,0x3b85c9dcf657afea13bdcdf38b0d9e9adffca5f0,eoa,solana,SG,medium,2023-11-15,1,investor
159,0xcefcff59f1d1d35f3e2a47242441df3fd8a8bb60,contract,arbitrum,UK,low,2023-07-06,0,investor
160,0xde32c89368b37a3269819c0ebf6d7002d301ed80,contract,arbitrum,CA,low,2023-02-03,1,vip_user
161,0xde60d5f9837bb90c5f5cd612523c02f73e4a8d4d,contract,polygon,FR,low,2023-02-13,1,team_wallet
162,0xdc825f6aa0aacd92c10e85d999f9946023f48027,contract,arbitrum,KR,low,2023-10-14,1,investor
163,0xeaef38d7d6d9f8b60b4fce8a3734ba0bb8a642d1,contract,optimism,SG,low,2023-07-15,0,vip_user
164,0xa2d28791fe16d82d13f1810ac2306ea28e4ac919,exchange,solana,UK,medium,2023-09-02,1,whale
165,0xfd111cff2934fd71a04c9bb42663e0a31029c85f,defi_protocol,ethereum,AU,high,2023-07-18,1,investor
166,0x747d89f2ead894afde6d183f354ac3ad6f1fe7fc,eoa,binance_smart_chain,BR,high,2023-07-16,1,
167,0x6eefbda17cb35fff298577105f2c941bf01b7de3,contract,arbitrum,IN,medium,2023-03-05,1,vip_user
168,0xe2fa729b726b904fca7bae082f63a0d356011e68,multisig,optimism,UK,medium,2023-10-21,0,
169,0xf6404242b7ca68ac7fb9f357a5f88df3c0329a6b,exchange,arbitrum,CA,high,2023-03-01,1,team_wallet
170,0x4171a25394a5ac93bb1d289f54cef100ce2a193f,multisig,solana,UK,low,2023-08-10,0,vip_user
171,0x73f0d2546b4c16476d05652663f04a93f55378fd,exchange,optimism,KR,low,2023-01-03,1,team_wallet
172,0x747359628cbecbc955c391dbcb15c582993b6573,multisig,arbitrum,AE,medium,2023-01-28,1,whale
173,0xeec5abf17b0746989e4d85084910705f03726126,multisig,optimism,CA,low,2023-01-07,1,team_wallet
174,0xb87de201b96005643462c77dc3a103ee75184668,defi_protocol,arbitrum,KR,medium,2023-01-07,1,whale
175,0xce7c2ab4c746f8dc897e171633976be870552fba,contract,polygon,KR,medium,2023-06-04,0,team_wallet
176,0x5a4882ec3ef258b6a7d8cb2c2a266baf0a810b1c,defi_protocol,optimism,BR,low,2023-01-25,1,whale
177,0x9720a327f03322684c077dbc3c5775818140202f,contract,solana,KR,low,2023-11-05,1,vip_user
178,0xa0bd9311a26089484efaefb7506863e867bd1268,exchange,polygon,CA,medium,2023-10-28,1,
179,0x909812a2ddccbcdaa22b4f019d41e59f0683d904,eoa,optimism,JP,low,2023-11-26,1,vip_user
180,0x72afe99ddbd60d95dc5f21513ccbb2c81d22883f,contract,binance_smart_chain,FR,low,2023-06-17,0,whale
181,0x86453c8e668b0637e531352dfc14b2a14142ae3a,multisig,polygon,KR,low,2023-06-19,1,team_wallet
182,0x03e50f12447efcf003e467147cdb872ca88f41b6,eoa,ethereum,FR,low,2023-07-02,1,investor
183,0xa98515ce39b0b91c0047fadcde673b100c16db24,multisig,polygon,KR,low,2023-04-22,1,vip_user
184,0x2a407017f23a5ba62d3e28a5ef39fec001d1a48b,eoa,arbitrum,CA,medium,2023-02-10,1,whale
185,0xded367fa8ae9b469faf6b5ffb42279ddcea6ff8c,contract,solana,IN,low,2023-06-17,1,whale
186,0x9a1e129b096c8dae15dfce50b45a3e2c4a7bd06b,defi_protocol,binance_smart_chain,KR,low,2023-06-21,1,whale
187,0x1694442d1c7e0ec9949115388ac28ee91e7ad569,eoa,arbitrum,US,low,2023-10-02,1,
188,0x728bcf51fcb140f62a39d1a3da589c474410daec,exchange,arbitrum,SG,medium,2023-11-24,0,investor
189,0x8960e253c38b3280e27ea10da7c28fe98932b448,contract,binance_smart_chain,BR,low,2023-05-27,0,
190,0x668702812decc23a1201ca2ef4310cdd30cb5412,defi_protocol,ethereum,JP,medium,2023-05-08,1,vip_user
191,0x8f489667280c1f57a2f5d7b253e78c1903d0a76c,contract,arbitrum,US,low,2023-06-26,1,team_wallet
192,0x972431cbab8268770cb9b76502b8033f08fda946,contract,polygon,KR,medium,2023-03-07,1,team_wallet
193,0xdd9ebe315e2b1ec3636b40a2b62502b9e41798e3,eoa,solana,US,medium,2023-08-09,1,
194,0x48af40e640dc5864e37d53eccec45d3881159011,exchange,polygon,KR,medium,2023-05-22,1,
195,0x36e89a3a5085bc33721c1a2755e74aa405e90b93,eoa,ethereum,KR,low,2023-02-20,1,investor
196,0x2ce7cedad9593f0d3074706fc6d00a15ab1477f2,contract,arbitrum,BR,low,2023-10-23,1,vip_user
197,0x4e41be4916b8e42de9047273ab9f026050d3d44b,defi_protocol,binance_smart_chain,DE,low,2023-07-07,0,vip_user
198,0x65506633bf2769a66939268247f378b9e93495ab,multisig,solana,AU,medium,2023-10-17,1,investor
199,0x9b23dfd4affbf8bd4ba18d4d9ba17fe6fef73da1,defi_protocol,polygon,JP,low,2023-10-24,0,investor
200,0x8be6578da298291b304ba97679d9968584eed567,exchange,arbitrum,AE,low,2023-05-12,1,vip_user
201,0xc4b42f5e253ff1c3cca88ef70a07edbdfe79ab3c,eoa,solana,US,low,2023-07-22,1,whale
202,0x5f6e27049022fbd2699edc4c977fdd446eb06c69,eoa,binance_smart_chain,DE,medium,2023-02-15,0,
203,0x473f62fd12826354200b5fcd530cdf434f8f6d6a,defi_protocol,binance_smart_chain,BR,medium,2023-11-27,1,
204,0x18edbc2d370b4b459bf5a2adfca70ce3b2ef7637,multisig,binance_smart_chain,FR,low,2023-10-10,1,investor
205,0xe7ab18313c7c6680b0b80f3fb1f4816e3aa59d11,multisig,arbitrum,CA,low,2023-02-04,0,
206,0xc7277aa5df15f7f119172b932160541345427f18,contract,arbitrum,SG,high,2023-11-01,1,team_wallet
207,0x83783657b274d8bdbc6b0965a8d6b93ca66575f6,defi_protocol,polygon,KR,low,2023-03-10,1,
208,0xa71ef2a197065d7dabb12499116edf3fef5db735,multisig,ethereum,UK,low,2023-09-12,1,whale
209,0xe41220289bed0dd1ddff80c4920ac2f61bd83ed2,contract,solana,AE,medium,2023-05-18,1,team_wallet
210,0x120f7c65a86e99474f24c49137c15a324611c96c,eoa,solana,BR,low,2023-08-28,1,vip_user
211,0xc16e83bb501f5e97c334b1a22a215e176e8d722d,exchange,binance_smart_chain,JP,low,2023-07-06,0,whale
212,0x1f12b3fcb53e20ad9490d57cb22a8cbb24259ea3,exchange,arbitrum,CA,low,2023-10-16,1,
213,0x1cafe20d8f91f9bf070344d93824f4c189833eae,defi_protocol,optimism,DE,medium,2023-05-06,0,team_wallet
214,0x9a516f02954850f8e9e3470c826b74a44b97c96e,eoa,arbitrum,AE,low,2023-01-03,1,
215,0x2be78e06b1b3978d2d59a2b8448d773d1d6c1e9d,multisig,arbitrum,JP,high,2023-07-04,1,whale
216,0xd0a82027b7b750ad0a904ac010565b970cceb469,exchange,binance_smart_chain,SG,low,2023-11-02,0,
217,0xb3c62c4e71522ce6ffc7e19ea1654408c748070d,eoa,ethereum,US,medium,2023-03-02,0,team_wallet
218,0xfcd3d329177ceb2d1e96999b0c7843c13c341d61,contract,optimism,SG,high,2023-06-22,1,team_wallet
219,0x4d7ce1de510d0e14a81de7e16b506f163c7ef7a3,multisig,optimism,US,low,2023-06-22,1,vip_user
220,0x38271aaef7310a110d32e0045115f9b5664adcc6,eoa,binance_smart_chain,AU,medium,2023-11-18,1,whale
221,0x8ab9397846fc6178fbfd1ed535a55f62bed51957,eoa,binance_smart_chain,AE,low,2023-12-03,0,whale
222,0x5b6ca519d549dc6aca8832283c7be548ec210081,multisig,solana,US,low,2023-05-08,0,
223,0xb5624a022a720ae1329ad0874f2f43f1d46301c6,defi_protocol,arbitrum,KR,low,2023-09-20,1,investor
224,0x4f2aa9e2aef305394874c142e4a0bbf8186a3032,eoa,ethereum,DE,low,2023-05-10,1,vip_user
225,0xb6049bb4d10546660d684c566947dd167df680c3,contract,optimism,IN,medium,2023-12-09,1,investor
226,0xa830511916d7fe3f644dabc92a2319242e27e968,multisig,binance_smart_chain,KR,high,2023-09-01,1,team_wallet
227,0x981626bfaf960f6b4f7cccbd32ca3416e26b9cff,multisig,optimism,JP,low,2023-07-18,1,team_wallet
228,0x7965293c5fa19408e9766938e366d682a458271c,exchange,polygon,UK,low,2023-05-14,0,team_wallet
229,0x78fccbaa9e6b85b17d658ddb67cba61d5589eecc,eoa,polygon,JP,medium,2023-01-04,1,
230,0xa6169fe7a58659be290dbf163a1e82e978e3d070,contract,arbitrum,CA,medium,2023-10-16,0,
231,0x2e19d4350aa9eefe86f0ee4b37c12beeb682d374,defi_protocol,solana,SG,high,2023-01-04,1,
232,0x8f32c47905024e50c1bc166ca9f7d00cd5a75cad,eoa,solana,KR,low,2023-05-14,1,whale
233,0x6f87e78906e70a91425112d003e6aa52a3cfd5a1,contract,binance_smart_chain,UK,high,2023-04-16,1,
234,0x4d5441c2702db9872408ae753b8e89df66e372a2,multisig,arbitrum,CA,low,2023-12-05,1,
235,0xdcd758dddc7110358b5184b584f5c6afe4de8bf4,exchange,optimism,KR,low,2023-02-19,1,investor
236,0x7af1d14d3f0908af474605ce97c0f8d54ab9ed15,eoa,arbitrum,KR,low,2023-07-08,1,whale
237,0xa33359b3a2878db0220eee73f0b1d30260d39f39,defi_protocol,binance_smart_chain,DE,low,2023-04-23,0,
238,0x1baf605978d6249de3749ec109918c9e4bfa6558,contract,arbitrum,JP,low,2023-08-04,1,
239,0x3f8b40b25d8126dddf6bb01fb96297e00775f6eb,eoa,optimism,AU,medium,2023-06-08,0,
