scd_id,wallet_id,wallet_address,risk_level,kyc_verified,valid_from,valid_to,is_current
118,159,0xcefcff59f1d1d35f3e2a47242441df3fd8a8bb60,high,1,2024-05-23,9999-12-31,1
119,122,0x1c6053997fac10665c812bbf18d94d7de05e4cff,low,0,2023-03-08,2024-02-23,0
120,122,0x1c6053997fac10665c812bbf18d94d7de05e4cff,high,1,2024-02-23,9999-12-31,1
121,118,0xb8be41ea2adf8f8833596b6212754dd3de960fc6,low,0,2023-04-19,2024-02-08,0
122,118,0xb8be41ea2adf8f8833596b6212754dd3de960fc6,medium,1,2024-02-08,9999-12-31,1
123,188,0x728bcf51fcb140f62a39d1a3da589c474410daec,low,0,2023-05-11,2024-01-03,0
124,188,0x728bcf51fcb140f62a39d1a3da589c474410daec,medium,1,2024-01-03,9999-12-31,1
125,292,0x25db8e2f2d4521a510d4c333f22958f505029d57,low,0,2023-04-15,2024-04-18,0
126,292,0x25db8e2f2d4521a510d4c333f22958f505029d57,medium,1,2024-04-18,9999-12-31,1
127,153,0x65c557c1bfc93ad7dc1abd95f054acfe5926a35b,low,0,2023-02-20,2024-06-26,0
128,153,0x65c557c1bfc93ad7dc1abd95f054acfe5926a35b,high,1,2024-06-26,9999-12-31,1
129,163,0xeaef38d7d6d9f8b60b4fce8a3734ba0bb8a642d1,low,0,2023-02-22,2024-05-28,0
130,163,0xeaef38d7d6d9f8b60b4fce8a3734ba0bb8a642d1,medium,1,2024-05-28,9999-12-31,1
131,78,0x12925fdb27005d595e40da7c961cac120b828f40,low,0,2023-06-27,2024-02-11,0
132,78,0x12925fdb27005d595e40da7c961cac120b828f40,high,1,2024-02-11,9999-12-31,1
133,200,0x8be6578da298291b304ba97679d9968584eed567,low,0,2023-04-19,2024-05-24,0
134,200,0x8be6578da298291b304ba97679d9968584eed567,high,1,2024-05-24,9999-12-31,1
135,212,0x1f12b3fcb53e20ad9490d57cb22a8cbb24259ea3,low,0,2023-03-25,2024-03-14,0
136,212,0x1f12b3fcb53e20ad9490d57cb22a8cbb24259ea3,high,1,2024-03-14,9999-12-31,1
137,105,0xa45337dc14b13ff87506a93379f5909147670caa,low,0,2023-04-25,2024-05-17,0
138,105,0xa45337dc14b13ff87506a93379f5909147670caa,medium,1,2024-05-17,9999-12-31,1
139,137,0x3fbcc019efad2c66a5253f780d91fc86eab6387a,low,0,2023-02-06,2024-04-02,0
140,137,0x3fbcc019efad2c66a5253f780d91fc86eab6387a,high,1,2024-04-02,9999-12-31,1
141,136,0x3a33532b9473908edd0aa0e1b4c10c83bf4c7d26,low,0,2023-04-22,2024-03-18,0
142,136,0x3a33532b9473908edd0aa0e1b4c10c83bf4c7d26,medium,1,2024-03-18,9999-12-31,1
143,129,0xaa128f263d4afdfed179056be52f6fe7b272cb54,low,0,2023-04-03,2024-05-18,0
144,129,0xaa128f263d4afdfed179056be52f6fe7b272cb54,medium,1,2024-05-18,9999-12-31,1
145,108,0x493a1d98dcbab55ce406fa04a5d293f1370ac844,low,0,2023-03-22,2024-06-08,0
146,108,0x493a1d98dcbab55ce406fa04a5d293f1370ac844,medium,1,2024-06-08,9999-12-31,1
147,33,0xb8638a6d02069c28845af17b06e35608e6372abe,low,0,2023-03-24,2024-04-03,0
148,33,0xb8638a6d02069c28845af17b06e35608e6372abe,high,1,2024-04-03,9999-12-31,1
149,164,0xa2d28791fe16d82d13f1810ac2306ea28e4ac919,low,0,2023-01-28,2024-05-11,0
150,164,0xa2d28791fe16d82d13f1810ac2306ea28e4ac919,high,1,2024-05-11,9999-12-31,1
151,10,0x538a007af78f294e6e7aa19510ea80fe9f6267c5,low,0,2023-05-07,2024-04-17,0
152,10,0x538a007af78f294e6e7aa19510ea80fe9f6267c5,high,1,2024-04-17,9999-12-31,1
153,64,0xc8b493760ff926282df04fbd18c94270890e9517,low,0,2023-04-10,2024-06-04,0
154,64,0xc8b493760ff926282df04fbd18c94270890e9517,medium,1,2024-06-04,9999-12-31,1
155,176,0x5a4882ec3ef258b6a7d8cb2c2a266baf0a810b1c,low,0,2023-02-20,2024-03-26,0
156,176,0x5a4882ec3ef258b6a7d8cb2c2a266baf0a810b1c,medium,1,2024-03-26,9999-12-31,1
157,133,0xb82831bc98c785e4dce09eae69faded0de781e66,low,0,2023-03-19,2024-05-19,0
158,133,0xb82831bc98c785e4dce09eae69faded0de781e66,medium,1,2024-05-19,9999-12-31,1
159,20,0x570a1dd57a13309c4d047a3eea612c5d30f3421f,low,0,2023-03-27,2024-06-01,0
160,20,0x570a1dd57a13309c4d047a3eea612c5d30f3421f,high,1,2024-06-01,9999-12-31,1
