tx_id,tx_hash,date_id,from_wallet_id,to_wallet_id,token_id,product_id,tx_type,amount_token,token_price_usd,amount_usd,gas_fee_usd,chain,status,block_number,created_at
57,0xb7794d93280ffab2c1fbd58e6d8ae113c94259cc7ed96a88f11b256298e41289,20240111,97,47,7,,swap,25908.04771,1.2446,32245.16,71.3961,arbitrum,confirmed,18905188,2024-01-11 17:20:00
58,0x61e473951a1f70aa0394f2223c3d254bfb9d08dcbd445240ef7fc225970aa7e4,20240520,50,89,5,9,unstake,44545.941002,174.1993,7759871.74,61.7013,optimism,confirmed,19550270,2024-05-20 18:23:00
59,0x9984ada616cf2c46a8a865f5615cad1029624d94006944733b65cc65943e4c7f,20241014,250,115,6,1,approve,41477.076616,0.818,33928.25,21.1454,polygon,confirmed,20362245,2024-10-14 09:41:00
60,0x739e7483a681afd1e58fd015930ad1a0b6912441e6b13f4d5c97cffd2643b66c,20240510,227,112,7,1,bridge,1714.866672,1.1416,1957.69,68.8369,optimism,confirmed,18214070,2024-05-10 05:30:00
61,0x8732b3e679955b99e3664014f3add5fc2d00c7759c919080a598562c267ff5f6,20240312,268,199,10,1,transfer,45216.265187,17.4393,788540.01,54.5612,ethereum,confirmed,20882706,2024-03-12 02:16:00
62,0xa1ca35a22f576557cee08a16dbd44be692e816be55780a6336979bfa26287ef4,20240615,59,58,1,,burn,48990.213338,3347.4758,163993553.59,33.094,polygon,confirmed,19851522,2024-06-15 16:43:00
63,0xd26f0bde1c7e95632570fdfbab851790c689bbbac27fbe2236fe7aa8768946bb,20241201,234,61,7,7,mint,19320.009762,1.1541,22297.22,42.6525,arbitrum,confirmed,19592173,2024-12-01 22:07:00
64,0x298bd1ba5d507f49d9d485e89559c84e4fcb4f9b9259fcfe92165b4ed4d36539,20240109,135,15,4,,transfer,8851.92154,1.0466,9264.42,72.5981,binance_smart_chain,confirmed,20710773,2024-01-09 11:14:00
65,0x2a7cbedbd046309b9f41138e6e63630af19bac45e4e4b8e77a34cf3552c9000a,20240426,62,271,4,,mint,35657.812678,1.0683,38093.24,60.8709,ethereum,confirmed,18748071,2024-04-26 16:40:00
66,0x22c51bc80463a0b68b4b938c40b79db0f502bc3b9be75b87774e5c1bb87650c1,20240320,176,77,1,,stake,48207.909401,3158.8407,152281106.28,56.1926,optimism,confirmed,18317036,2024-03-20 16:34:00
67,0xbb4b53271d7288fdd9a248eab16544d7b54b5cc0c5786304b3b3c5a9c80ccb86,20240717,300,80,7,10,burn,2199.391937,1.2446,2737.36,53.0377,solana,confirmed,20786367,2024-07-17 23:05:00
68,0x870b15a27603c85af1bbdc23ae33308ef1b9590b6906db77b8eb8044dd321fba,20240526,73,115,8,7,burn,17985.325338,2.0396,36682.87,14.0141,binance_smart_chain,confirmed,19021512,2024-05-26 00:32:00
69,0x3159ebe412b8d2fa016824df48ba5df1843123789e14c0d95965a4a8de4b6a3b,20241226,107,31,5,,approve,25145.480891,170.2978,4282220.08,65.0476,optimism,confirmed,19521349,2024-12-26 10:03:00
70,0x4b1a610885605815747848dce1c9091c206c4796b9b4c982d31cb01188b3a4b1,20241012,160,146,4,8,approve,45445.210147,1.0644,48371.88,51.1946,arbitrum,confirmed,18628813,2024-10-12 03:57:00
71,0x7da88da738ffd5aab643e43ead63cfca8cf62fb07040f79911403d921d556982,20240911,229,274,3,9,bridge,8264.687024,1.0146,8385.35,67.199,polygon,confirmed,18775923,2024-09-11 22:26:00
72,0x0b939e81c70a90eaa90017a4850533dcf4ac2d6f5d41355be96120e609a892e6,20240820,35,239,10,,bridge,32238.427428,17.5343,565278.26,28.3467,arbitrum,confirmed,18645790,2024-08-20 14:42:00
73,0x70c3e7cac18a03fcbef9aafcd65c9480916878aef7ee24cd46115907b60fb72f,20240609,71,298,3,8,stake,11024.551082,0.9218,10162.43,62.7459,ethereum,confirmed,19463928,2024-06-09 08:43:00
74,0x4f87e6a53b4c5318a8648e747e57e17d3509a88c8bbdc5105a1e08f93e8fee9a,20240923,158,267,3,,unstake,38398.696346,0.9242,35488.08,8.0742,solana,confirmed,19342417,2024-09-23 12:55:00
75,0x0e04135eec268e3fdada13516089660c42c157ddbb91d8d2a9f13f8bb99b67b3,20240421,113,154,3,,stake,34885.143268,0.9957,34735.14,39.5068,binance_smart_chain,confirmed,20092827,2024-04-21 18:50:00
76,0xed07822ec7ecac465eb957b4f9f65accec143f2449b10357bc065bf2f648fbae,20240615,42,99,2,5,bridge,698.733053,67470.1029,47143590.99,,solana,confirmed,18932264,2024-06-15 17:00:00
77,0x35274ad08624e1604a10386605ce887938bb2a453dda46fc0269236e5679483f,20240804,97,28,2,,unstake,2932.024386,67352.6625,197479648.91,,arbitrum,pending,20889831,2024-08-04 03:04:00
78,0x1a0a7e2a8f3dcb4de510cf922f4edebc605c645dfe35c99380ee33d8e9ee7120,20240410,180,36,6,,transfer,45158.737462,0.8152,36813.4,79.5233,binance_smart_chain,confirmed,20992950,2024-04-10 09:35:00
79,0x3cc2b38bc3e1cb3a6481e6d0b4cd5163bfbf4454b07bfcb3db6fbdc64746e451,20240212,104,96,3,5,burn,26314.096456,0.9841,25895.7,18.4085,solana,confirmed,18185993,2024-02-12 18:23:00
80,0x11c2496299590d065b380301ee6d425a85ceb980a8860c6a9afe7d30f935921b,20240109,202,156,3,5,bridge,47782.901587,1.046,49980.92,50.7269,binance_smart_chain,confirmed,20747861,2024-01-09 15:45:00
81,0x882aa849cc2e88c8d5fdb3242b246ee2d092ffccc7964ab24930eb2b03903210,20240127,293,55,9,,approve,12730.250644,419.262,5337310.35,6.1199,ethereum,confirmed,19305235,2024-01-27 17:37:00
82,0xbb9e28df3229fe4af59af1cc2e16750955cf46e91c5d97a85d0215490847329e,20241103,245,109,7,2,transfer,34490.605057,1.2328,42520.02,49.3171,optimism,confirmed,20428783,2024-11-03 05:28:00
83,0x053e9a798b8a5afc9c4e6ead8b36c3f91b5caf94a82fb52dcc832bf98714f35f,20241218,71,127,7,1,swap,37977.918195,1.1171,42425.13,29.2775,ethereum,confirmed,18599755,2024-12-18 14:49:00
84,0x98edad4cd5c42a34d9ecc86ecb5196e4aca3d264a6c55782685ee2c9b3035082,20240619,149,197,6,10,transfer,7813.997492,0.8497,6639.55,31.9846,polygon,reverted,19362860,2024-06-19 09:29:00
85,0x1fe0646129ab57793279ba4600edd58f6a89c18c5b0be374dc1318c529ffe2a2,20240608,11,201,9,8,burn,13777.129867,395.4621,5448332.71,1.7314,optimism,confirmed,18350385,2024-06-08 12:14:00
86,0x8bce1fe07902549c9889120ec96f61a7b7e78bde344075056b90ad7625aa2984,20240327,85,110,1,6,burn,17604.156915,3049.0596,53676123.64,40.429,optimism,confirmed,19888621,2024-03-27 04:43:00
87,0x94c157f01495c835c2b22ff18aa3bf10ae4075a4cb4d916dbe0c9b72b80df7f3,20240522,53,257,9,2,burn,46726.498527,452.6928,21152749.45,23.0709,solana,confirmed,19246078,2024-05-22 11:34:00
88,0x50680f3b036170d553e63cec4f8fa08fc98a80008b74d9b0813e985c64c641a8,20240806,129,153,7,3,approve,34357.662781,1.1812,40583.27,63.8896,solana,confirmed,18970130,2024-08-06 12:21:00
89,0xea897d21a58c46b6bba911c580961a4a29350a39bb86fd5fa09832d8840cf7a3,20240409,17,220,3,5,swap,36971.906848,1.0242,37866.63,75.3591,binance_smart_chain,confirmed,20630940,2024-04-09 05:26:00
90,0xc579deb200f5c97b77722d2b553aab36d5e42f6407a985127281b64ee96c678c,20240805,65,248,8,4,approve,25588.186858,2.0038,51273.61,15.0103,binance_smart_chain,confirmed,20676076,2024-08-05 03:52:00
91,0x8adbb4ae8f75b768385b86814d962ec26699342ebfc6ff29403717279413596c,20241124,254,273,5,7,mint,12560.50148,177.8794,2234254.47,20.7642,arbitrum,confirmed,18517656,2024-11-24 11:20:00
92,0xa1b3bd54ae1122d261aeb5bca06d1e6e852912084a231db345088f47c07a11c1,20240815,46,150,7,,unstake,10419.656022,1.1398,11876.32,54.1602,polygon,failed,18656745,2024-08-15 01:26:00
93,0x7ba89e69510646b455245b9c705ce5ad5ff935b036293bee3ab580bd4db31f45,20241112,103,125,1,,mint,23948.246136,3326.3312,79659798.31,58.4872,polygon,confirmed,19337612,2024-11-12 00:13:00
94,0x249aa949686e62d4fe25b948393f2f5348ea6bdb555c8882b828aa410e837542,20240928,173,227,6,,unstake,44545.110954,0.7951,35417.82,65.3815,optimism,confirmed,19368964,2024-09-28 09:04:00
95,0x1a764a5ef131a7342096227c203f637892df626990a36d01fcf3c3180e7bf62f,20240807,193,230,3,8,stake,22460.780435,0.9994,22447.3,21.908,solana,confirmed,20031119,2024-08-07 01:58:00
96,0x9646eb6abe8dbab83030d197f175cb8de0ff1901772d55f6d42bcf8525c8a901,20241205,187,164,4,,stake,10327.718811,1.0524,10868.89,30.9475,arbitrum,confirmed,18678089,2024-12-05 12:15:00
97,0xca1776a30db1ae916eaa36f6e4f6e90dac9c27101783e77382f366554aecffef,20241104,3,53,6,2,mint,4615.364835,0.8873,4095.21,62.8492,arbitrum,confirmed,18225779,2024-11-04 21:17:00
98,0xff401acd25510a574f7b50cb8a7ffc034e9a1bc77449743b1fb0ff7dc84339f1,20240204,75,118,7,,swap,3228.817458,1.2659,4087.36,39.3017,arbitrum,confirmed,19625437,2024-02-04 12:46:00
99,0x676ba683367258a6f12fc70169c76aa6b4dc888bc77919d3e260e987cc25d4d1,20240110,190,14,3,,bridge,23556.861228,0.9978,23505.04,44.9421,ethereum,confirmed,20076588,2024-01-10 06:16:00
100,0x567b29353cc0f4911f69a19524979025e1f22a79739ac31464572ad09d317d12,20240309,226,112,6,7,bridge,15140.274213,0.8269,12519.49,41.6153,binance_smart_chain,confirmed,18373135,2024-03-09 19:56:00
101,0x920274479eff05ca5ffb125e396dfef02c885e6ebb92826be536e0095019bb70,20240508,139,9,5,4,burn,12481.255694,181.6613,2267361.14,52.5326,ethereum,confirmed,18539190,2024-05-08 11:31:00
102,0x6aff6c00d72f6eb12a278d390982ef115c8ad2bb9d62a6afdbf68210558068a0,20240908,40,220,6,,unstake,8219.19793,0.8156,6703.58,51.5164,ethereum,confirmed,19188204,2024-09-08 09:00:00
103,0x1c68c942358cfc5d9b723b10d7dcfacdf09454f56a849695c51405588c8d8c38,20241118,68,144,9,6,unstake,14225.940995,436.3937,6208111.03,45.7896,arbitrum,confirmed,20286508,2024-11-18 07:23:00
104,0x6c9f596e1042dae63ed35647de2e90964b557ca3c3afd38dd9db9f3c1f1e12c5,20240213,222,51,5,6,mint,10581.037055,178.9552,1893531.6,71.6819,solana,confirmed,19586785,2024-02-13 12:56:00
105,0x35bb8ff3f165d12143f8e69ad4ef8e10a3c9aa0809c59c5740feccd59f7d7e29,20240403,292,55,6,7,mint,39593.52032,0.8172,32355.82,39.5249,binance_smart_chain,reverted,19859874,2024-04-03 22:23:00
106,0x55b26e7f146c59edb8bf1b7f545111d048604953c881e5b8bdc204abae66b60d,20240420,74,26,5,1,burn,37487.469224,177.1386,6640477.82,10.6925,binance_smart_chain,confirmed,19005348,2024-04-20 21:51:00
107,0x1186d9e75a46dac9040985880ed4c984b9ca42c1e58aedec592c1214345b32db,20240914,132,37,9,10,bridge,35731.387585,451.9953,16150419.25,36.3354,polygon,confirmed,20898676,2024-09-14 08:50:00
108,0x3b0ea3f80150f14d829e0942f844af6593a719e8f3bd4a99694c3fde0bc3c8bc,20240507,135,233,2,6,burn,5025.583411,68390.449,343701905.97,,binance_smart_chain,confirmed,20201259,2024-05-07 04:12:00
109,0xf3564e09581537facd128cfd7df47341469a5ba0998d5610b1a4f8db9c728f03,20240303,159,81,3,9,unstake,49309.145222,1.031,50837.73,72.176,arbitrum,confirmed,18475831,2024-03-03 22:12:00
110,0x746d39d47abf8f18cc85355e804f039d0c66b2b7d6a027816bdb7d0cf8e05699,20240104,160,156,3,6,unstake,31719.490003,0.9877,31329.34,21.6524,arbitrum,confirmed,19311661,2024-01-04 04:50:00
111,0xeec694c83911f40d6e38a071903fd6970b3fe405336fda5c59cb1b23e3931571,20240324,186,24,4,1,burn,12966.926038,0.9384,12168.16,16.1062,binance_smart_chain,confirmed,20121227,2024-03-24 20:25:00
112,0xaffa05cff29d6144b6403c6ee6bfb22025e803d4f855a5d79fccc5312a3cb626,20240627,173,120,9,,approve,31413.938222,390.7789,12275904.22,13.5921,optimism,confirmed,20424279,2024-06-27 06:33:00
113,0xae43cc6a6a7f21f713f0635e8a87c9ef986d2f08a777cae055f14c2a09521a58,20240611,112,231,3,,unstake,35873.86425,0.9845,35317.82,64.2842,arbitrum,confirmed,19934536,2024-06-11 16:19:00
114,0xb3303326cbc554fc9bed50c8c7ee5b50ff307d306f5e0ee0d566f8f053c5d8f7,20240506,275,32,1,4,unstake,14454.35011,3091.9642,44692333.07,78.7389,polygon,confirmed,18949785,2024-05-06 23:31:00
115,0xca8df29843a640166d369e34d9e50754d387a04aee05d6a98eac1137823efa61,20240308,269,173,9,,bridge,33537.843247,388.1321,13017113.53,58.2344,polygon,confirmed,20615444,2024-03-08 02:17:00
116,0x78faee3bf437212e157c052f55f62a941fa182841dd3446332586cb4895e1906,20241006,235,87,10,5,approve,13702.865782,19.3914,265717.75,15.5791,optimism,confirmed,19276174,2024-10-06 04:38:00
117,0xe9bbe9335b974f72c1ef8d304978a25633071a6d595425e2659fe434a12f8116,20241223,160,58,8,10,burn,29256.612695,2.2059,64537.16,62.8746,arbitrum,confirmed,19865480,2024-12-23 14:03:00
118,0xa83ea43b0a500d2a81a16a6a351cb43563b34521ca94214537452b36b845d512,20240414,239,283,4,,bridge,4321.780344,0.9817,4242.69,53.0668,optimism,failed,18716438,2024-04-14 17:58:00
119,0x779ad140936d15cb1614b6355b9ea377f929a4b94000cfa7096357e968b6216a,20240527,39,92,5,7,mint,30792.544575,180.7274,5565056.52,6.8211,optimism,confirmed,18478839,2024-05-27 03:17:00
120,0xc9ae6ecb00404d3c35ff953dc1b916d528b8b14cc45903810ebbb47e798e40f4,20241125,231,88,6,,unstake,30349.444517,0.8972,27229.52,79.1355,solana,confirmed,19644918,2024-11-25 11:52:00
121,0xb595bf70450c978740ffd3aa476e827e916eda3a81517ddadd8dd6710b48c82a,20240526,136,272,7,5,burn,14442.380113,1.2732,18388.04,46.5008,ethereum,confirmed,18815531,2024-05-26 02:48:00
122,0x9161b4db9188290f430dac725f2a475920f4126c72e6b60360a765b21f44b992,20240721,130,182,2,2,burn,46759.898212,63184.4005,2954496135.97,,solana,confirmed,20476680,2024-07-21 11:01:00
123,0x9b4b20fffb2c29850bc83e60f05609125fa7c7dcaa2e6cd07bd412d924738486,20241201,149,180,4,9,bridge,22511.508029,1.0726,24145.84,73.3401,polygon,confirmed,20265028,2024-12-01 14:19:00
124,0xbfb15aa1b4eee2362746d5df26624f5770d70b6e725bc5407aa2b9275ba84556,20241209,53,131,1,,bridge,30470.415909,3074.5435,93682619.18,63.1775,solana,confirmed,18860863,2024-12-09 04:25:00
125,0xc413ff4ebaab265cbfc50277fa5d470a9ddae3e090e8e7ab72a66b0d0f243684,20240618,224,60,8,9,approve,30525.064139,1.9745,60271.74,17.3077,ethereum,confirmed,18225996,2024-06-18 15:46:00
