run_id,dag_id,run_date,state,duration_sec,rows_processed,error_msg
RUN0125,ingest_blockchain_events,2024-07-10 07:00:00,success,632.0,6839,
RUN0126,ingest_blockchain_events,2024-12-01 13:00:00,success,635.4,23621,
RUN0127,ingest_api_prices,2024-09-28 20:00:00,running,,0,
RUN0128,transform_fact_transactions,2024-02-15 11:00:00,success,46.7,15872,
RUN0129,load_warehouse,2024-08-21 11:00:00,success,67.4,7998,
RUN0130,transform_fact_transactions,2024-07-12 17:00:00,success,381.3,40207,
RUN0131,load_warehouse,2024-11-28 00:00:00,failed,261.5,0,ConnectionError: DB timeout
RUN0132,transform_fact_transactions,2024-12-14 18:00:00,failed,817.6,0,ConnectionError: DB timeout
RUN0133,load_warehouse,2024-02-04 11:00:00,success,354.9,4817,
RUN0134,transform_fact_transactions,2024-07-17 17:00:00,running,,0,
RUN0135,dbt_run_models,2024-01-19 22:00:00,success,472.9,18638,
RUN0136,dbt_run_models,2024-12-30 20:00:00,success,253.7,4407,
RUN0137,ingest_blockchain_events,2024-02-19 21:00:00,failed,882.2,0,ConnectionError: DB timeout
RUN0138,dbt_run_models,2024-04-01 01:00:00,running,,0,
RUN0139,dbt_run_models,2024-03-24 17:00:00,success,368.1,13109,
RUN0140,load_warehouse,2024-06-02 18:00:00,success,314.5,41501,
RUN0141,dbt_run_models,2024-06-28 07:00:00,success,812.6,37046,
RUN0142,transform_fact_transactions,2024-04-01 23:00:00,success,118.2,48914,
RUN0143,dbt_run_models,2024-02-24 22:00:00,failed,255.2,0,ConnectionError: DB timeout
RUN0144,load_warehouse,2024-02-28 18:00:00,success,355.5,2012,
RUN0145,ingest_blockchain_events,2024-06-27 21:00:00,success,158.6,31142,
RUN0146,ingest_blockchain_events,2024-07-30 01:00:00,success,751.5,181,
RUN0147,ingest_api_prices,2024-04-22 00:00:00,success,767.1,44673,
RUN0148,dbt_run_models,2024-02-11 21:00:00,success,133.0,38397,
RUN0149,ingest_blockchain_events,2024-04-01 11:00:00,success,159.4,306,
RUN0150,dbt_run_models,2024-01-10 15:00:00,success,670.6,28475,
RUN0151,load_warehouse,2024-08-24 08:00:00,running,,0,
RUN0152,dbt_run_models,2024-09-15 19:00:00,success,296.6,31054,
RUN0153,dbt_run_models,2024-12-16 17:00:00,failed,135.5,0,ConnectionError: DB timeout
RUN0154,load_warehouse,2024-11-23 11:00:00,failed,436.4,0,ConnectionError: DB timeout
RUN0155,ingest_blockchain_events,2024-11-21 16:00:00,success,575.1,29571,
RUN0156,dbt_run_models,2024-12-17 13:00:00,success,202.5,27224,
RUN0157,load_warehouse,2024-05-08 15:00:00,success,368.4,33207,
RUN0158,load_warehouse,2024-07-31 08:00:00,success,189.7,31103,
RUN0159,dbt_run_models,2024-10-06 00:00:00,success,656.4,31005,
RUN0160,transform_fact_transactions,2024-11-12 07:00:00,success,892.8,49085,
RUN0161,ingest_blockchain_events,2024-04-10 05:00:00,running,,0,
RUN0162,ingest_api_prices,2024-11-20 02:00:00,success,608.1,48739,
RUN0163,dbt_run_models,2024-08-03 21:00:00,failed,501.9,0,ConnectionError: DB timeout
RUN0164,load_warehouse,2024-09-29 22:00:00,running,,0,
RUN0165,ingest_api_prices,2024-03-10 23:00:00,success,57.2,41466,
RUN0166,ingest_api_prices,2024-04-17 17:00:00,success,114.3,37775,
RUN0167,ingest_api_prices,2024-01-13 02:00:00,success,97.9,28539,
RUN0168,ingest_blockchain_events,2024-01-26 10:00:00,success,642.1,29761,
RUN0169,dbt_run_models,2024-12-12 06:00:00,success,654.3,44282,
RUN0170,ingest_blockchain_events,2024-09-10 22:00:00,success,413.9,43407,
RUN0171,dbt_run_models,2024-01-04 21:00:00,success,40.8,32080,
RUN0172,ingest_blockchain_events,2024-04-15 15:00:00,success,456.8,25519,
RUN0173,dbt_run_models,2024-09-03 12:00:00,success,515.4,49035,
RUN0174,transform_fact_transactions,2024-05-02 03:00:00,success,406.6,3104,
RUN0175,transform_fact_transactions,2024-10-19 11:00:00,failed,767.7,0,ConnectionError: DB timeout
RUN0176,load_warehouse,2024-04-13 06:00:00,running,,0,
RUN0177,dbt_run_models,2024-12-03 08:00:00,success,771.6,6752,
RUN0178,transform_fact_transactions,2024-10-30 07:00:00,success,347.1,37134,
RUN0179,transform_fact_transactions,2024-05-19 05:00:00,success,465.2,6198,
RUN0180,ingest_api_prices,2024-07-11 18:00:00,success,734.4,18274,
RUN0181,transform_fact_transactions,2024-02-16 02:00:00,failed,161.4,0,ConnectionError: DB timeout
RUN0182,ingest_api_prices,2024-03-14 01:00:00,success,386.2,30307,
RUN0183,load_warehouse,2024-12-22 11:00:00,success,779.0,28824,
RUN0184,ingest_api_prices,2024-09-14 03:00:00,success,798.1,49221,
RUN0185,ingest_api_prices,2024-06-26 21:00:00,success,455.8,19992,
RUN0186,dbt_run_models,2024-06-13 16:00:00,running,,0,
RUN0187,ingest_api_prices,2024-10-19 11:00:00,success,858.1,7379,
RUN0188,ingest_api_prices,2024-04-18 07:00:00,success,214.9,24157,
RUN0189,ingest_api_prices,2024-07-28 06:00:00,success,806.1,41059,
RUN0190,transform_fact_transactions,2024-08-27 04:00:00,running,,0,
RUN0191,load_warehouse,2024-07-24 17:00:00,running,,0,
RUN0192,ingest_api_prices,2024-06-18 08:00:00,running,,0,
RUN0193,ingest_api_prices,2024-03-16 15:00:00,success,85.1,39882,
RUN0194,ingest_api_prices,2024-03-05 10:00:00,success,515.3,5722,
RUN0195,load_warehouse,2024-10-21 05:00:00,success,572.1,5949,
RUN0196,transform_fact_transactions,2024-12-10 02:00:00,failed,819.3,0,ConnectionError: DB timeout
RUN0197,ingest_blockchain_events,2024-12-01 22:00:00,success,703.7,24238,
RUN0198,transform_fact_transactions,2024-08-03 02:00:00,success,81.7,45506,
RUN0199,transform_fact_transactions,2024-11-12 15:00:00,success,782.0,19254,
RUN0200,load_warehouse,2024-10-17 02:00:00,running,,0,
