offset_id,topic,partition,offset,consumer_group,lag,committed_at
77,mempool-events,2,241074,blockchain-analytics-cg,186,2024-01-01 00:41:46
78,defi-prices,2,112142,blockchain-analytics-cg,64,2024-01-01 00:42:44
79,aggregated-metrics,1,616219,blockchain-analytics-cg,235,2024-01-01 00:43:28
80,defi-prices,6,452695,blockchain-analytics-cg,60,2024-01-01 00:43:32
81,aggregated-metrics,0,301155,blockchain-analytics-cg,81,2024-01-01 00:43:42
82,mempool-events,3,567973,blockchain-analytics-cg,205,2024-01-01 00:44:35
83,aggregated-metrics,5,910719,blockchain-analytics-cg,479,2024-01-01 00:45:09
84,defi-prices,6,156880,blockchain-analytics-cg,236,2024-01-01 00:45:25
85,alert-high-value,4,989118,blockchain-analytics-cg,458,2024-01-01 00:45:43
86,alert-high-value,2,768421,blockchain-analytics-cg,468,2024-01-01 00:46:38
87,aggregated-metrics,0,46941,blockchain-analytics-cg,137,2024-01-01 00:47:21
88,defi-prices,7,55299,blockchain-analytics-cg,154,2024-01-01 00:48:03
89,aggregated-metrics,1,445128,blockchain-analytics-cg,460,2024-01-01 00:48:16
90,mempool-events,7,769833,blockchain-analytics-cg,363,2024-01-01 00:49:04
91,defi-prices,1,404188,blockchain-analytics-cg,200,2024-01-01 00:49:42
92,mempool-events,3,25100,blockchain-analytics-cg,144,2024-01-01 00:50:33
93,alert-high-value,1,784053,blockchain-analytics-cg,180,2024-01-01 00:50:58
94,alert-high-value,3,642213,blockchain-analytics-cg,133,2024-01-01 00:51:18
95,aggregated-metrics,3,474561,blockchain-analytics-cg,244,2024-01-01 00:51:54
96,aggregated-metrics,3,615631,blockchain-analytics-cg,169,2024-01-01 00:52:51
97,alert-high-value,0,719895,blockchain-analytics-cg,167,2024-01-01 00:52:54
98,mempool-events,3,185792,blockchain-analytics-cg,490,2024-01-01 00:53:26
99,defi-prices,2,815011,blockchain-analytics-cg,340,2024-01-01 00:54:17
100,defi-prices,3,191838,blockchain-analytics-cg,429,2024-01-01 00:54:40
101,mempool-events,1,246946,blockchain-analytics-cg,494,2024-01-01 00:55:17
102,aggregated-metrics,3,469960,blockchain-analytics-cg,385,2024-01-01 00:56:05
103,aggregated-metrics,4,380008,blockchain-analytics-cg,187,2024-01-01 00:56:18
104,mempool-events,4,777925,blockchain-analytics-cg,14,2024-01-01 00:56:34
105,aggregated-metrics,4,92115,blockchain-analytics-cg,123,2024-01-01 00:57:09
106,alert-high-value,3,626912,blockchain-analytics-cg,272,2024-01-01 00:57:34
107,mempool-events,5,810981,blockchain-analytics-cg,319,2024-01-01 00:57:58
108,mempool-events,0,679665,blockchain-analytics-cg,377,2024-01-01 00:58:10
109,aggregated-metrics,4,235219,blockchain-analytics-cg,158,2024-01-01 00:58:50
110,defi-prices,4,765092,blockchain-analytics-cg,300,2024-01-01 00:59:31
111,aggregated-metrics,0,235770,blockchain-analytics-cg,183,2024-01-01 01:00:04
112,mempool-events,1,732469,blockchain-analytics-cg,264,2024-01-01 01:00:07
113,alert-high-value,5,449891,blockchain-analytics-cg,498,2024-01-01 01:00:17
114,mempool-events,0,663413,blockchain-analytics-cg,91,2024-01-01 01:00:36
115,alert-high-value,4,897743,blockchain-analytics-cg,493,2024-01-01 01:00:52
116,alert-high-value,7,357068,blockchain-analytics-cg,112,2024-01-01 01:01:41
117,mempool-events,0,681852,blockchain-analytics-cg,19,2024-01-01 01:02:22
118,mempool-events,4,764820,blockchain-analytics-cg,46,2024-01-01 01:02:35
119,mempool-events,1,171888,blockchain-analytics-cg,191,2024-01-01 01:02:46
120,aggregated-metrics,1,601890,blockchain-analytics-cg,298,2024-01-01 01:02:56
121,alert-high-value,7,773651,blockchain-analytics-cg,427,2024-01-01 01:03:41
122,alert-high-value,3,251883,blockchain-analytics-cg,216,2024-01-01 01:04:07
123,mempool-events,0,264116,blockchain-analytics-cg,75,2024-01-01 01:04:20
124,mempool-events,5,44676,blockchain-analytics-cg,11,2024-01-01 01:04:44
125,defi-prices,5,375041,blockchain-analytics-cg,24,2024-01-01 01:05:36
126,aggregated-metrics,2,760560,blockchain-analytics-cg,90,2024-01-01 01:06:00
127,aggregated-metrics,4,163231,blockchain-analytics-cg,345,2024-01-01 01:06:40
128,mempool-events,0,748913,blockchain-analytics-cg,477,2024-01-01 01:07:03
129,mempool-events,2,995169,blockchain-analytics-cg,289,2024-01-01 01:07:30
130,mempool-events,2,955695,blockchain-analytics-cg,236,2024-01-01 01:08:30
131,mempool-events,3,417656,blockchain-analytics-cg,163,2024-01-01 01:09:15
132,mempool-events,2,834263,blockchain-analytics-cg,18,2024-01-01 01:09:48
133,aggregated-metrics,7,364022,blockchain-analytics-cg,157,2024-01-01 01:10:47
134,mempool-events,6,853500,blockchain-analytics-cg,60,2024-01-01 01:11:40
135,alert-high-value,5,891357,blockchain-analytics-cg,145,2024-01-01 01:11:47
136,mempool-events,1,70672,blockchain-analytics-cg,144,2024-01-01 01:12:22
137,aggregated-metrics,7,232442,blockchain-analytics-cg,44,2024-01-01 01:13:18
138,aggregated-metrics,1,281734,blockchain-analytics-cg,123,2024-01-01 01:13:52
139,mempool-events,6,719968,blockchain-analytics-cg,420,2024-01-01 01:14:35
140,aggregated-metrics,1,726130,blockchain-analytics-cg,175,2024-01-01 01:14:44
141,aggregated-metrics,5,46109,blockchain-analytics-cg,129,2024-01-01 01:15:07
142,alert-high-value,5,933628,blockchain-analytics-cg,75,2024-01-01 01:15:29
143,mempool-events,1,357321,blockchain-analytics-cg,374,2024-01-01 01:15:46
144,aggregated-metrics,0,585516,blockchain-analytics-cg,165,2024-01-01 01:16:25
145,defi-prices,0,867081,blockchain-analytics-cg,282,2024-01-01 01:16:41
146,aggregated-metrics,2,196461,blockchain-analytics-cg,1,2024-01-01 01:16:54
147,defi-prices,7,23104,blockchain-analytics-cg,197,2024-01-01 01:17:44
148,mempool-events,5,841554,blockchain-analytics-cg,336,2024-01-01 01:17:57
149,alert-high-value,1,891499,blockchain-analytics-cg,83,2024-01-01 01:18:19
150,mempool-events,7,422701,blockchain-analytics-cg,478,2024-01-01 01:18:43
151,alert-high-value,0,981312,blockchain-analytics-cg,142,2024-01-01 01:18:44
152,alert-high-value,5,133456,blockchain-analytics-cg,340,2024-01-01 01:18:59
153,alert-high-value,7,20423,blockchain-analytics-cg,438,2024-01-01 01:19:06
154,mempool-events,7,207610,blockchain-analytics-cg,398,2024-01-01 01:19:41
155,mempool-events,6,945203,blockchain-analytics-cg,498,2024-01-01 01:20:32
156,mempool-events,2,330549,blockchain-analytics-cg,387,2024-01-01 01:20:53
157,aggregated-metrics,1,269278,blockchain-analytics-cg,165,2024-01-01 01:21:41
158,defi-prices,5,467477,blockchain-analytics-cg,296,2024-01-01 01:22:16
159,defi-prices,3,87934,blockchain-analytics-cg,103,2024-01-01 01:22:41
160,defi-prices,7,943047,blockchain-analytics-cg,211,2024-01-01 01:23:09
161,mempool-events,0,301286,blockchain-analytics-cg,239,2024-01-01 01:23:31
162,defi-prices,0,58904,blockchain-analytics-cg,265,2024-01-01 01:24:00
163,aggregated-metrics,1,474821,blockchain-analytics-cg,277,2024-01-01 01:24:06
164,mempool-events,6,864134,blockchain-analytics-cg,240,2024-01-01 01:24:45
165,mempool-events,1,262669,blockchain-analytics-cg,367,2024-01-01 01:25:28
166,defi-prices,2,521881,blockchain-analytics-cg,227,2024-01-01 01:26:17
167,defi-prices,0,180768,blockchain-analytics-cg,487,2024-01-01 01:26:29
168,defi-prices,4,473582,blockchain-analytics-cg,332,2024-01-01 01:26:54
169,alert-high-value,2,161001,blockchain-analytics-cg,69,2024-01-01 01:27:44
170,mempool-events,3,535451,blockchain-analytics-cg,314,2024-01-01 01:28:24
171,aggregated-metrics,4,710056,blockchain-analytics-cg,171,2024-01-01 01:29:06
172,mempool-events,1,555968,blockchain-analytics-cg,193,2024-01-01 01:30:06
173,aggregated-metrics,2,129289,blockchain-analytics-cg,322,2024-01-01 01:30:29
174,mempool-events,4,207013,blockchain-analytics-cg,391,2024-01-01 01:31:06
175,mempool-events,1,797290,blockchain-analytics-cg,465,2024-01-01 01:31:09
176,mempool-events,3,470081,blockchain-analytics-cg,278,2024-01-01 01:31:49
177,aggregated-metrics,6,93445,blockchain-analytics-cg,113,2024-01-01 01:32:12
178,aggregated-metrics,0,523747,blockchain-analytics-cg,0,2024-01-01 01:32:21
179,aggregated-metrics,3,752744,blockchain-analytics-cg,15,2024-01-01 01:32:55
180,defi-prices,4,926153,blockchain-analytics-cg,19,2024-01-01 01:33:49
181,defi-prices,5,532116,blockchain-analytics-cg,236,2024-01-01 01:34:44
182,aggregated-metrics,2,348243,blockchain-analytics-cg,409,2024-01-01 01:35:34
183,defi-prices,2,858123,blockchain-analytics-cg,330,2024-01-01 01:35:40
184,mempool-events,7,817819,blockchain-analytics-cg,3,2024-01-01 01:36:28
185,aggregated-metrics,4,721524,blockchain-analytics-cg,236,2024-01-01 01:36:55
186,alert-high-value,5,34266,blockchain-analytics-cg,27,2024-01-01 01:37:21
187,mempool-events,7,613733,blockchain-analytics-cg,14,2024-01-01 01:38:08
188,mempool-events,0,734984,blockchain-analytics-cg,223,2024-01-01 01:38:32
189,mempool-events,6,970365,blockchain-analytics-cg,450,2024-01-01 01:39:27
190,mempool-events,4,976425,blockchain-analytics-cg,32,2024-01-01 01:40:16
191,mempool-events,0,908370,blockchain-analytics-cg,483,2024-01-01 01:41:07
192,aggregated-metrics,4,703164,blockchain-analytics-cg,362,2024-01-01 01:42:00
193,aggregated-metrics,4,919346,blockchain-analytics-cg,114,2024-01-01 01:42:16
194,aggregated-metrics,7,812904,blockchain-analytics-cg,424,2024-01-01 01:42:21
195,alert-high-value,7,818910,blockchain-analytics-cg,125,2024-01-01 01:42:38
196,defi-prices,1,583841,blockchain-analytics-cg,49,2024-01-01 01:42:39
197,mempool-events,0,836682,blockchain-analytics-cg,103,2024-01-01 01:42:49
198,defi-prices,7,970177,blockchain-analytics-cg,353,2024-01-01 01:42:59
199,mempool-events,6,554290,blockchain-analytics-cg,234,2024-01-01 01:43:27
200,defi-prices,0,108338,blockchain-analytics-cg,168,2024-01-01 01:44:27
201,mempool-events,1,768617,blockchain-analytics-cg,355,2024-01-01 01:44:33
202,aggregated-metrics,2,562302,blockchain-analytics-cg,82,2024-01-01 01:45:18
203,aggregated-metrics,1,247169,blockchain-analytics-cg,236,2024-01-01 01:45:50
204,defi-prices,1,86105,blockchain-analytics-cg,94,2024-01-01 01:45:57
205,alert-high-value,7,33001,blockchain-analytics-cg,334,2024-01-01 01:46:40
206,mempool-events,6,861764,blockchain-analytics-cg,125,2024-01-01 01:46:52
207,mempool-events,0,947412,blockchain-analytics-cg,295,2024-01-01 01:47:21
208,alert-high-value,3,870606,blockchain-analytics-cg,366,2024-01-01 01:47:54
209,mempool-events,1,594322,blockchain-analytics-cg,175,2024-01-01 01:48:11
210,mempool-events,1,544309,blockchain-analytics-cg,196,2024-01-01 01:49:03
211,alert-high-value,2,505852,blockchain-analytics-cg,237,2024-01-01 01:49:56
212,aggregated-metrics,3,549740,blockchain-analytics-cg,400,2024-01-01 01:50:41
213,mempool-events,0,782130,blockchain-analytics-cg,301,2024-01-01 01:50:46
214,mempool-events,6,99433,blockchain-analytics-cg,137,2024-01-01 01:51:39
215,defi-prices,1,974925,blockchain-analytics-cg,171,2024-01-01 01:51:50
216,aggregated-metrics,6,985457,blockchain-analytics-cg,237,2024-01-01 01:52:02
217,alert-high-value,6,696424,blockchain-analytics-cg,405,2024-01-01 01:52:43
218,defi-prices,4,6853,blockchain-analytics-cg,179,2024-01-01 01:52:47
219,mempool-events,3,536361,blockchain-analytics-cg,489,2024-01-01 01:53:16
220,aggregated-metrics,1,574556,blockchain-analytics-cg,398,2024-01-01 01:53:30
221,aggregated-metrics,5,409801,blockchain-analytics-cg,395,2024-01-01 01:53:55
222,defi-prices,3,677968,blockchain-analytics-cg,52,2024-01-01 01:54:15
223,aggregated-metrics,2,949693,blockchain-analytics-cg,330,2024-01-01 01:54:30
224,alert-high-value,2,589626,blockchain-analytics-cg,172,2024-01-01 01:54:38
225,defi-prices,3,312540,blockchain-analytics-cg,154,2024-01-01 01:54:41
226,alert-high-value,0,686781,blockchain-analytics-cg,169,2024-01-01 01:55:08
227,defi-prices,6,786926,blockchain-analytics-cg,339,2024-01-01 01:55:27
228,alert-high-value,2,75031,blockchain-analytics-cg,49,2024-01-01 01:56:24
229,aggregated-metrics,1,286761,blockchain-analytics-cg,184,2024-01-01 01:57:01
230,alert-high-value,1,485622,blockchain-analytics-cg,255,2024-01-01 01:57:39
231,alert-high-value,2,966596,blockchain-analytics-cg,225,2024-01-01 01:57:58
232,mempool-events,6,634520,blockchain-analytics-cg,362,2024-01-01 01:58:36
233,mempool-events,2,151833,blockchain-analytics-cg,142,2024-01-01 01:58:50
234,mempool-events,2,876562,blockchain-analytics-cg,220,2024-01-01 01:59:36
235,aggregated-metrics,1,725993,blockchain-analytics-cg,303,2024-01-01 01:59:58
236,alert-high-value,4,100501,blockchain-analytics-cg,342,2024-01-01 02:00:13
237,aggregated-metrics,0,296820,blockchain-analytics-cg,338,2024-01-01 02:00:15
238,defi-prices,2,523833,blockchain-analytics-cg,52,2024-01-01 02:00:16
239,alert-high-value,7,589366,blockchain-analytics-cg,261,2024-01-01 02:00:28
240,aggregated-metrics,2,778838,blockchain-analytics-cg,278,2024-01-01 02:00:46
241,alert-high-value,7,779462,blockchain-analytics-cg,426,2024-01-01 02:01:21
242,defi-prices,7,859993,blockchain-analytics-cg,499,2024-01-01 02:01:56
243,alert-high-value,1,4267,blockchain-analytics-cg,285,2024-01-01 02:02:23
244,defi-prices,6,874858,blockchain-analytics-cg,480,2024-01-01 02:03:01
245,aggregated-metrics,4,661458,blockchain-analytics-cg,378,2024-01-01 02:03:03
246,alert-high-value,6,260167,blockchain-analytics-cg,497,2024-01-01 02:04:00
247,alert-high-value,3,986509,blockchain-analytics-cg,277,2024-01-01 02:04:27
248,aggregated-metrics,3,111497,blockchain-analytics-cg,133,2024-01-01 02:04:55
249,alert-high-value,1,407104,blockchain-analytics-cg,171,2024-01-01 02:05:19
250,defi-prices,1,890912,blockchain-analytics-cg,3,2024-01-01 02:06:07
251,alert-high-value,2,262403,blockchain-analytics-cg,37,2024-01-01 02:06:46
252,mempool-events,7,932856,blockchain-analytics-cg,275,2024-01-01 02:07:11
253,alert-high-value,5,976997,blockchain-analytics-cg,320,2024-01-01 02:07:15
254,aggregated-metrics,4,369472,blockchain-analytics-cg,29,2024-01-01 02:08:13
255,defi-prices,0,783812,blockchain-analytics-cg,109,2024-01-01 02:09:05
256,mempool-events,2,985405,blockchain-analytics-cg,300,2024-01-01 02:09:40
257,alert-high-value,0,814501,blockchain-analytics-cg,263,2024-01-01 02:09:54
258,mempool-events,5,88523,blockchain-analytics-cg,432,2024-01-01 02:10:45
259,defi-prices,1,589107,blockchain-analytics-cg,341,2024-01-01 02:11:00
260,aggregated-metrics,0,270590,blockchain-analytics-cg,87,2024-01-01 02:11:46
261,defi-prices,4,354421,blockchain-analytics-cg,129,2024-01-01 02:12:29
262,mempool-events,0,78,blockchain-analytics-cg,280,2024-01-01 02:12:55
263,mempool-events,4,760642,blockchain-analytics-cg,406,2024-01-01 02:13:39
264,aggregated-metrics,7,739647,blockchain-analytics-cg,70,2024-01-01 02:14:29
265,defi-prices,0,539997,blockchain-analytics-cg,58,2024-01-01 02:14:58
266,aggregated-metrics,6,52010,blockchain-analytics-cg,227,2024-01-01 02:15:35
267,aggregated-metrics,1,545281,blockchain-analytics-cg,420,2024-01-01 02:16:17
268,alert-high-value,3,729821,blockchain-analytics-cg,363,2024-01-01 02:16:57
269,mempool-events,6,30959,blockchain-analytics-cg,491,2024-01-01 02:16:59
270,alert-high-value,6,927445,blockchain-analytics-cg,33,2024-01-01 02:17:13
271,alert-high-value,5,252282,blockchain-analytics-cg,274,2024-01-01 02:17:37
272,mempool-events,1,12439,blockchain-analytics-cg,63,2024-01-01 02:18:23
273,aggregated-metrics,0,440005,blockchain-analytics-cg,230,2024-01-01 02:18:48
274,mempool-events,0,400023,blockchain-analytics-cg,375,2024-01-01 02:19:31
275,aggregated-metrics,1,686744,blockchain-analytics-cg,404,2024-01-01 02:19:42
276,defi-prices,5,364197,blockchain-analytics-cg,356,2024-01-01 02:20:23
277,aggregated-metrics,0,161336,blockchain-analytics-cg,343,2024-01-01 02:20:34
278,alert-high-value,5,157173,blockchain-analytics-cg,278,2024-01-01 02:21:24
279,alert-high-value,6,840553,blockchain-analytics-cg,396,2024-01-01 02:22:23
280,defi-prices,7,486899,blockchain-analytics-cg,433,2024-01-01 02:23:05
281,aggregated-metrics,4,688968,blockchain-analytics-cg,48,2024-01-01 02:23:19
282,mempool-events,0,935557,blockchain-analytics-cg,397,2024-01-01 02:24:07
283,mempool-events,1,476547,blockchain-analytics-cg,57,2024-01-01 02:24:36
284,mempool-events,3,536472,blockchain-analytics-cg,310,2024-01-01 02:25:02
285,alert-high-value,0,804785,blockchain-analytics-cg,432,2024-01-01 02:25:50
286,mempool-events,0,284189,blockchain-analytics-cg,218,2024-01-01 02:26:26
287,defi-prices,4,355409,blockchain-analytics-cg,242,2024-01-01 02:27:14
288,aggregated-metrics,6,578070,blockchain-analytics-cg,126,2024-01-01 02:28:06
289,defi-prices,1,48750,blockchain-analytics-cg,41,2024-01-01 02:28:08
290,defi-prices,4,828300,blockchain-analytics-cg,52,2024-01-01 02:29:07
291,aggregated-metrics,2,500709,blockchain-analytics-cg,33,2024-01-01 02:29:15
292,mempool-events,3,292534,blockchain-analytics-cg,474,2024-01-01 02:29:39
293,defi-prices,1,130423,blockchain-analytics-cg,491,2024-01-01 02:29:55
294,mempool-events,2,196992,blockchain-analytics-cg,288,2024-01-01 02:30:47
295,aggregated-metrics,0,672468,blockchain-analytics-cg,183,2024-01-01 02:31:40
296,defi-prices,6,635496,blockchain-analytics-cg,216,2024-01-01 02:32:19
297,defi-prices,7,909551,blockchain-analytics-cg,295,2024-01-01 02:32:30
298,mempool-events,2,876312,blockchain-analytics-cg,25,2024-01-01 02:33:02
299,defi-prices,1,698426,blockchain-analytics-cg,358,2024-01-01 02:33:57
300,defi-prices,6,687947,blockchain-analytics-cg,391,2024-01-01 02:34:56
301,defi-prices,5,710954,blockchain-analytics-cg,414,2024-01-01 02:35:47
302,aggregated-metrics,6,872371,blockchain-analytics-cg,141,2024-01-01 02:36:41
303,alert-high-value,3,194330,blockchain-analytics-cg,25,2024-01-01 02:37:02
304,mempool-events,6,528395,blockchain-analytics-cg,47,2024-01-01 02:37:24
305,defi-prices,4,28459,blockchain-analytics-cg,210,2024-01-01 02:37:28
306,defi-prices,3,771416,blockchain-analytics-cg,398,2024-01-01 02:37:56
307,alert-high-value,3,567522,blockchain-analytics-cg,107,2024-01-01 02:38:28
308,defi-prices,2,202849,blockchain-analytics-cg,392,2024-01-01 02:39:18
309,alert-high-value,0,575338,blockchain-analytics-cg,395,2024-01-01 02:40:18
310,mempool-events,1,982199,blockchain-analytics-cg,404,2024-01-01 02:40:35
311,defi-prices,0,515233,blockchain-analytics-cg,329,2024-01-01 02:41:01
312,aggregated-metrics,3,110268,blockchain-analytics-cg,277,2024-01-01 02:41:45
313,defi-prices,0,898003,blockchain-analytics-cg,206,2024-01-01 02:41:53
314,alert-high-value,7,834067,blockchain-analytics-cg,142,2024-01-01 02:42:35
315,alert-high-value,3,436023,blockchain-analytics-cg,463,2024-01-01 02:43:14
316,mempool-events,3,234600,blockchain-analytics-cg,244,2024-01-01 02:43:59
317,defi-prices,4,786910,blockchain-analytics-cg,485,2024-01-01 02:44:38
318,alert-high-value,3,983553,blockchain-analytics-cg,482,2024-01-01 02:45:15
319,mempool-events,3,396923,blockchain-analytics-cg,93,2024-01-01 02:45:42
320,alert-high-value,1,102959,blockchain-analytics-cg,359,2024-01-01 02:46:03
321,alert-high-value,5,620889,blockchain-analytics-cg,129,2024-01-01 02:46:16
322,defi-prices,6,988694,blockchain-analytics-cg,71,2024-01-01 02:47:11
323,aggregated-metrics,4,491087,blockchain-analytics-cg,303,2024-01-01 02:47:43
324,defi-prices,2,554564,blockchain-analytics-cg,319,2024-01-01 02:48:16
325,aggregated-metrics,1,655041,blockchain-analytics-cg,25,2024-01-01 02:48:55
326,alert-high-value,2,564448,blockchain-analytics-cg,460,2024-01-01 02:49:13
327,aggregated-metrics,1,458252,blockchain-analytics-cg,451,2024-01-01 02:49:42
328,aggregated-metrics,0,302680,blockchain-analytics-cg,196,2024-01-01 02:50:33
329,aggregated-metrics,0,314895,blockchain-analytics-cg,160,2024-01-01 02:50:59
330,mempool-events,7,36321,blockchain-analytics-cg,491,2024-01-01 02:51:46
331,defi-prices,2,293636,blockchain-analytics-cg,78,2024-01-01 02:52:42
332,mempool-events,1,962767,blockchain-analytics-cg,455,2024-01-01 02:53:12
333,mempool-events,4,257902,blockchain-analytics-cg,278,2024-01-01 02:53:44
334,mempool-events,0,323444,blockchain-analytics-cg,62,2024-01-01 02:54:07
335,aggregated-metrics,6,45761,blockchain-analytics-cg,379,2024-01-01 02:54:49
336,defi-prices,1,94233,blockchain-analytics-cg,5,2024-01-01 02:55:31
337,aggregated-metrics,2,9709,blockchain-analytics-cg,119,2024-01-01 02:55:38
338,alert-high-value,5,656508,blockchain-analytics-cg,46,2024-01-01 02:56:25
339,mempool-events,4,648921,blockchain-analytics-cg,113,2024-01-01 02:57:14
340,alert-high-value,0,887753,blockchain-analytics-cg,258,2024-01-01 02:57:46
