window_id,window_start,window_end,token,chain,msg_count,avg_price,min_price,max_price,total_volume_usd,price_change_pct,alert_triggered
48,2024-01-01 00:23:30,2024-01-01 00:24:00,USDT,optimism,118,0.974,0.9832,1.0441,126708068.32,1.2545,0
49,2024-01-01 00:24:00,2024-01-01 00:24:30,USDC,arbitrum,102,0.9928,0.9577,1.0386,248423133.96,-0.8624,0
50,2024-01-01 00:24:30,2024-01-01 00:25:00,BTC,polygon,145,63291.4382,61930.5032,68159.3242,333233440.3,3.9657,0
51,2024-01-01 00:25:00,2024-01-01 00:25:30,SOL,polygon,227,171.6368,169.8419,183.8781,143133728.14,3.6462,0
52,2024-01-01 00:25:30,2024-01-01 00:26:00,SOL,ethereum,13,178.3857,162.7959,181.952,385062174.0,-4.9041,0
53,2024-01-01 00:26:00,2024-01-01 00:26:30,SOL,arbitrum,212,172.0155,166.1099,177.0125,142142222.84,4.6377,0
54,2024-01-01 00:26:30,2024-01-01 00:27:00,BNB,optimism,40,419.3644,394.2604,432.3111,492892331.59,2.4047,1
55,2024-01-01 00:27:00,2024-01-01 00:27:30,USDC,polygon,252,0.976,0.9412,1.0322,244954666.9,-3.935,0
56,2024-01-01 00:27:30,2024-01-01 00:28:00,OP,polygon,304,2.0561,1.9981,2.158,355591831.2,-2.0974,1
57,2024-01-01 00:28:00,2024-01-01 00:28:30,SOL,optimism,100,169.9753,171.1736,183.6667,319730069.55,2.465,0
58,2024-01-01 00:28:30,2024-01-01 00:29:00,BNB,arbitrum,392,407.7569,415.3852,437.6013,363719486.12,3.113,1
59,2024-01-01 00:29:00,2024-01-01 00:29:30,BNB,optimism,441,429.7163,390.7244,449.3871,489066852.56,-0.9056,1
60,2024-01-01 00:29:30,2024-01-01 00:30:00,SOL,ethereum,489,170.0793,165.8062,178.2485,110044744.08,4.7824,0
61,2024-01-01 00:30:00,2024-01-01 00:30:30,BNB,optimism,491,420.9798,412.9452,442.7611,235918119.77,0.3736,0
62,2024-01-01 00:30:30,2024-01-01 00:31:00,BTC,ethereum,29,63173.6078,64065.5972,69538.3494,154976481.14,-1.7245,0
63,2024-01-01 00:31:00,2024-01-01 00:31:30,BNB,arbitrum,292,426.1281,406.1821,444.3474,249091819.78,-1.7382,0
64,2024-01-01 00:31:30,2024-01-01 00:32:00,MATIC,optimism,11,0.8359,0.8179,0.8868,227672022.79,1.4599,0
65,2024-01-01 00:32:00,2024-01-01 00:32:30,BNB,polygon,292,412.3015,399.8597,428.9725,382231978.94,4.6591,0
66,2024-01-01 00:32:30,2024-01-01 00:33:00,USDC,arbitrum,93,0.9751,0.9769,1.046,347390387.04,-4.7556,0
67,2024-01-01 00:33:00,2024-01-01 00:33:30,MATIC,ethereum,401,0.8705,0.8281,0.8815,406612714.57,4.5304,1
68,2024-01-01 00:33:30,2024-01-01 00:34:00,ARB,ethereum,364,1.1674,1.169,1.272,98846266.89,0.1234,0
69,2024-01-01 00:34:00,2024-01-01 00:34:30,USDT,arbitrum,180,0.985,0.9574,1.0118,285783869.33,-3.6734,0
70,2024-01-01 00:34:30,2024-01-01 00:35:00,ARB,ethereum,27,1.1753,1.1345,1.2362,244200116.85,1.9679,0
71,2024-01-01 00:35:00,2024-01-01 00:35:30,BNB,polygon,142,432.1722,400.2806,443.1895,153945637.44,2.996,1
72,2024-01-01 00:35:30,2024-01-01 00:36:00,SOL,ethereum,477,172.5484,166.1466,186.4891,249022985.05,4.1087,0
73,2024-01-01 00:36:00,2024-01-01 00:36:30,BNB,arbitrum,269,422.4575,399.5445,447.9456,267954621.24,-4.4636,0
74,2024-01-01 00:36:30,2024-01-01 00:37:00,MATIC,polygon,69,0.8288,0.8055,0.8629,279892581.97,3.2898,0
75,2024-01-01 00:37:00,2024-01-01 00:37:30,LINK,arbitrum,366,18.4739,17.604,19.4451,169940675.07,-3.0953,0
76,2024-01-01 00:37:30,2024-01-01 00:38:00,BNB,arbitrum,242,424.8454,394.1719,430.8754,84173947.41,-1.3501,0
77,2024-01-01 00:38:00,2024-01-01 00:38:30,LINK,ethereum,449,18.2031,17.9635,19.3591,213452108.51,-0.3222,0
78,2024-01-01 00:38:30,2024-01-01 00:39:00,ETH,optimism,70,3239.4793,2982.8462,3361.4901,106416524.58,3.2872,0
79,2024-01-01 00:39:00,2024-01-01 00:39:30,USDC,optimism,225,1.0087,0.9389,1.0515,146935797.98,1.9723,0
80,2024-01-01 00:39:30,2024-01-01 00:40:00,OP,optimism,264,2.0403,1.965,2.205,472782720.37,0.1651,0
81,2024-01-01 00:40:00,2024-01-01 00:40:30,ARB,arbitrum,351,1.1998,1.1354,1.2208,69514799.45,2.8143,0
82,2024-01-01 00:40:30,2024-01-01 00:41:00,ETH,arbitrum,28,3145.9673,3011.7886,3362.6713,118431368.65,1.0792,0
83,2024-01-01 00:41:00,2024-01-01 00:41:30,ETH,polygon,107,3171.5244,3054.8356,3326.5874,101803928.03,3.0959,0
84,2024-01-01 00:41:30,2024-01-01 00:42:00,SOL,arbitrum,467,174.6397,167.6386,186.6143,307262232.86,-3.8379,0
85,2024-01-01 00:42:00,2024-01-01 00:42:30,ARB,polygon,275,1.1672,1.1835,1.2667,176546683.14,4.6195,0
86,2024-01-01 00:42:30,2024-01-01 00:43:00,SOL,arbitrum,111,176.6646,166.5822,183.7479,360789025.69,1.2125,0
87,2024-01-01 00:43:00,2024-01-01 00:43:30,ETH,optimism,368,3291.9254,3014.969,3271.0536,20670117.57,-1.4765,0
88,2024-01-01 00:43:30,2024-01-01 00:44:00,SOL,optimism,474,179.0709,169.0004,181.4303,185997651.53,2.9273,0
89,2024-01-01 00:44:00,2024-01-01 00:44:30,ARB,arbitrum,72,1.2068,1.1851,1.2251,114608593.71,-2.2406,0
90,2024-01-01 00:44:30,2024-01-01 00:45:00,LINK,arbitrum,128,18.1364,17.8696,19.5146,243132061.34,2.206,0
91,2024-01-01 00:45:00,2024-01-01 00:45:30,LINK,arbitrum,49,18.9553,17.7534,19.6947,309090243.42,-4.7207,0
92,2024-01-01 00:45:30,2024-01-01 00:46:00,USDT,ethereum,380,0.9861,0.9803,1.0134,259025478.35,0.4875,0
93,2024-01-01 00:46:00,2024-01-01 00:46:30,SOL,ethereum,94,170.8093,163.5008,180.4792,308601312.05,3.3479,0
94,2024-01-01 00:46:30,2024-01-01 00:47:00,BTC,optimism,332,65229.9174,61747.9689,67447.8601,462451911.08,1.6703,0
95,2024-01-01 00:47:00,2024-01-01 00:47:30,USDC,optimism,389,1.0279,0.9559,1.0145,456820562.55,4.7743,1
96,2024-01-01 00:47:30,2024-01-01 00:48:00,LINK,ethereum,284,18.1992,17.5458,19.6404,311750304.0,1.6675,1
97,2024-01-01 00:48:00,2024-01-01 00:48:30,ARB,optimism,148,1.2009,1.1528,1.2775,108684828.41,1.2931,0
98,2024-01-01 00:48:30,2024-01-01 00:49:00,LINK,arbitrum,276,17.9899,17.7661,19.6753,310575747.07,-2.1104,0
99,2024-01-01 00:49:00,2024-01-01 00:49:30,BTC,polygon,184,65715.8262,63305.0694,67658.1559,491207403.95,0.7042,0
100,2024-01-01 00:49:30,2024-01-01 00:50:00,BNB,polygon,344,410.4933,410.185,440.0962,444168382.15,-2.6728,0
101,2024-01-01 00:50:00,2024-01-01 00:50:30,USDC,optimism,17,1.0243,0.9337,1.0388,274258865.66,-0.6445,0
102,2024-01-01 00:50:30,2024-01-01 00:51:00,USDC,ethereum,331,1.0286,0.9596,1.0436,122242357.37,3.7689,0
103,2024-01-01 00:51:00,2024-01-01 00:51:30,USDT,ethereum,395,0.9715,0.9365,1.0272,450644207.52,-4.8671,0
104,2024-01-01 00:51:30,2024-01-01 00:52:00,SOL,ethereum,83,174.0595,168.0948,182.7603,85767684.6,-3.1926,0
105,2024-01-01 00:52:00,2024-01-01 00:52:30,BNB,arbitrum,500,420.0929,402.6777,438.1781,381395808.8,-0.6888,0
106,2024-01-01 00:52:30,2024-01-01 00:53:00,MATIC,optimism,75,0.8654,0.8106,0.8739,242968440.91,-4.2807,0
107,2024-01-01 00:53:00,2024-01-01 00:53:30,SOL,polygon,327,174.8336,171.0206,183.2836,139029037.8,4.1619,0
108,2024-01-01 00:53:30,2024-01-01 00:54:00,ETH,polygon,329,3282.2045,3063.2355,3324.2721,364155178.01,4.9078,0
109,2024-01-01 00:54:00,2024-01-01 00:54:30,USDC,ethereum,266,1.0201,0.9389,1.025,73774320.89,0.2279,0
110,2024-01-01 00:54:30,2024-01-01 00:55:00,USDC,polygon,319,0.9961,0.9338,1.0649,247334734.95,2.2205,0
111,2024-01-01 00:55:00,2024-01-01 00:55:30,LINK,ethereum,464,18.2143,17.413,19.7473,371878239.5,-1.2921,0
112,2024-01-01 00:55:30,2024-01-01 00:56:00,OP,arbitrum,397,2.0638,2.0143,2.2116,11871802.87,2.0068,0
113,2024-01-01 00:56:00,2024-01-01 00:56:30,ETH,arbitrum,231,3122.0577,3014.9572,3366.1201,320514312.84,3.8126,1
114,2024-01-01 00:56:30,2024-01-01 00:57:00,LINK,polygon,78,18.4795,18.0296,19.7455,337057955.0,-4.1245,0
115,2024-01-01 00:57:00,2024-01-01 00:57:30,SOL,polygon,407,170.8513,169.235,178.558,348763870.46,-3.6676,0
116,2024-01-01 00:57:30,2024-01-01 00:58:00,LINK,arbitrum,345,18.3793,18.1869,19.4468,374295075.68,-2.3622,0
117,2024-01-01 00:58:00,2024-01-01 00:58:30,USDT,ethereum,433,1.0041,0.9412,1.0294,191839229.17,-4.0137,0
118,2024-01-01 00:58:30,2024-01-01 00:59:00,ETH,ethereum,61,3234.717,3007.2932,3332.2288,270660965.49,0.6842,1
119,2024-01-01 00:59:00,2024-01-01 00:59:30,USDC,ethereum,202,1.024,0.9769,1.0305,127420956.88,0.3569,0
120,2024-01-01 00:59:30,2024-01-01 01:00:00,BNB,optimism,250,416.3628,405.6355,431.4968,338596410.63,0.1712,0
121,2024-01-01 01:00:00,2024-01-01 01:00:30,SOL,polygon,390,173.4264,164.2053,183.2302,208361946.96,-3.8822,0
122,2024-01-01 01:00:30,2024-01-01 01:01:00,USDT,optimism,147,0.9857,0.9426,1.0504,241763826.81,-3.08,1
123,2024-01-01 01:01:00,2024-01-01 01:01:30,MATIC,polygon,350,0.8577,0.8324,0.8992,448064035.74,-2.9868,0
124,2024-01-01 01:01:30,2024-01-01 01:02:00,SOL,ethereum,484,174.4462,170.8205,182.3791,337878775.61,-4.8518,1
125,2024-01-01 01:02:00,2024-01-01 01:02:30,ARB,polygon,425,1.1808,1.1397,1.2524,232896936.56,2.981,0
126,2024-01-01 01:02:30,2024-01-01 01:03:00,BTC,ethereum,394,63321.8417,62912.3229,68846.2861,319799440.67,1.2621,0
127,2024-01-01 01:03:00,2024-01-01 01:03:30,ETH,ethereum,440,3246.2036,3142.1662,3396.4749,172019678.18,-4.2284,0
128,2024-01-01 01:03:30,2024-01-01 01:04:00,USDC,optimism,179,1.0269,0.9385,1.0673,196358986.78,-4.3926,1
129,2024-01-01 01:04:00,2024-01-01 01:04:30,ARB,ethereum,224,1.1917,1.1272,1.2576,235533659.09,0.6508,0
130,2024-01-01 01:04:30,2024-01-01 01:05:00,ETH,optimism,60,3280.5081,3019.0664,3277.9178,494338157.2,3.5534,1
131,2024-01-01 01:05:00,2024-01-01 01:05:30,USDC,polygon,187,0.9808,0.9598,1.0676,386485573.21,-3.1211,0
132,2024-01-01 01:05:30,2024-01-01 01:06:00,BNB,optimism,257,407.7013,394.4397,446.4531,497767066.61,3.83,1
133,2024-01-01 01:06:00,2024-01-01 01:06:30,LINK,polygon,486,17.9959,17.3326,19.3996,472786413.45,-1.9427,0
134,2024-01-01 01:06:30,2024-01-01 01:07:00,SOL,arbitrum,307,176.8199,163.5762,186.8679,380071354.91,-0.6142,0
135,2024-01-01 01:07:00,2024-01-01 01:07:30,SOL,arbitrum,241,173.446,172.2416,181.3224,81315231.21,3.0285,0
136,2024-01-01 01:07:30,2024-01-01 01:08:00,ETH,polygon,260,3160.5399,3011.763,3408.1451,343740773.02,-0.4739,0
137,2024-01-01 01:08:00,2024-01-01 01:08:30,MATIC,ethereum,205,0.8425,0.8284,0.8724,110169117.45,-1.0925,0
138,2024-01-01 01:08:30,2024-01-01 01:09:00,USDT,ethereum,292,0.9891,0.9625,1.0675,497126952.11,1.1422,0
139,2024-01-01 01:09:00,2024-01-01 01:09:30,MATIC,arbitrum,442,0.8474,0.8159,0.8829,81068756.82,2.1552,1
140,2024-01-01 01:09:30,2024-01-01 01:10:00,USDT,optimism,343,1.021,0.9475,1.0357,29058458.4,0.6023,1
141,2024-01-01 01:10:00,2024-01-01 01:10:30,ARB,optimism,476,1.203,1.1709,1.2426,258841214.47,-4.086,1
142,2024-01-01 01:10:30,2024-01-01 01:11:00,ARB,arbitrum,277,1.2025,1.158,1.2804,386989009.44,-2.4713,0
143,2024-01-01 01:11:00,2024-01-01 01:11:30,ARB,optimism,436,1.2312,1.1525,1.2201,413486095.88,-0.1731,0
144,2024-01-01 01:11:30,2024-01-01 01:12:00,LINK,polygon,270,18.7831,18.3104,18.7272,448132943.99,1.6395,0
145,2024-01-01 01:12:00,2024-01-01 01:12:30,OP,arbitrum,156,2.0863,2.0782,2.2042,489501942.27,0.1186,0
146,2024-01-01 01:12:30,2024-01-01 01:13:00,LINK,arbitrum,60,18.1628,18.2827,19.0235,325947686.1,4.7455,0
147,2024-01-01 01:13:00,2024-01-01 01:13:30,BNB,optimism,154,431.7655,395.8284,438.4236,283499066.46,-2.773,0
148,2024-01-01 01:13:30,2024-01-01 01:14:00,SOL,arbitrum,468,175.3643,165.2409,179.872,293550332.17,0.6907,1
149,2024-01-01 01:14:00,2024-01-01 01:14:30,ARB,ethereum,138,1.1843,1.1193,1.2455,46245702.42,-2.2066,0
150,2024-01-01 01:14:30,2024-01-01 01:15:00,MATIC,ethereum,220,0.8677,0.815,0.8762,320468593.98,2.5328,0
151,2024-01-01 01:15:00,2024-01-01 01:15:30,SOL,arbitrum,19,171.5292,166.6924,182.908,87141508.44,2.0854,0
152,2024-01-01 01:15:30,2024-01-01 01:16:00,USDT,arbitrum,28,1.0159,0.9858,1.0142,247418082.38,2.2152,0
153,2024-01-01 01:16:00,2024-01-01 01:16:30,OP,ethereum,253,2.1524,2.025,2.1802,80820942.12,3.7564,1
154,2024-01-01 01:16:30,2024-01-01 01:17:00,ARB,optimism,414,1.215,1.1868,1.2534,375045285.74,1.4521,0
155,2024-01-01 01:17:00,2024-01-01 01:17:30,ETH,optimism,473,3225.76,3079.5042,3326.7004,100841182.77,1.5008,0
156,2024-01-01 01:17:30,2024-01-01 01:18:00,BNB,optimism,143,429.5412,410.7421,440.2243,152426461.96,-2.3946,1
157,2024-01-01 01:18:00,2024-01-01 01:18:30,BNB,polygon,172,432.351,396.7714,437.3655,426655977.49,3.3292,0
158,2024-01-01 01:18:30,2024-01-01 01:19:00,ETH,polygon,411,3115.9819,3021.1147,3247.1641,37562306.58,2.2048,0
159,2024-01-01 01:19:00,2024-01-01 01:19:30,SOL,ethereum,165,178.6677,164.4154,180.2888,297845688.38,-1.4371,0
160,2024-01-01 01:19:30,2024-01-01 01:20:00,SOL,optimism,106,172.5231,165.9384,181.7128,482804701.66,-1.7159,1
161,2024-01-01 01:20:00,2024-01-01 01:20:30,ARB,polygon,225,1.1672,1.1352,1.2782,171322307.16,2.0497,0
162,2024-01-01 01:20:30,2024-01-01 01:21:00,BTC,polygon,410,64873.6396,60804.0029,69125.3087,53326501.18,-1.9805,0
163,2024-01-01 01:21:00,2024-01-01 01:21:30,USDC,optimism,205,0.9787,0.9893,1.0164,482206235.02,-1.9439,0
164,2024-01-01 01:21:30,2024-01-01 01:22:00,SOL,polygon,495,175.7003,172.6298,179.5502,45459132.67,3.1124,0
165,2024-01-01 01:22:00,2024-01-01 01:22:30,BNB,polygon,372,425.8474,391.135,431.6295,14632901.01,-0.2007,0
166,2024-01-01 01:22:30,2024-01-01 01:23:00,MATIC,arbitrum,52,0.8709,0.8401,0.8903,430762143.22,2.8001,1
167,2024-01-01 01:23:00,2024-01-01 01:23:30,ETH,arbitrum,214,3145.4123,2985.1755,3365.8333,324501500.59,3.1562,0
168,2024-01-01 01:23:30,2024-01-01 01:24:00,LINK,arbitrum,490,18.6281,17.2654,18.9207,423600932.88,1.4144,0
169,2024-01-01 01:24:00,2024-01-01 01:24:30,ETH,polygon,189,3161.0095,3047.4916,3232.8322,135179240.78,-4.678,1
170,2024-01-01 01:24:30,2024-01-01 01:25:00,SOL,polygon,420,177.1563,168.6428,180.1564,245509979.73,-1.2612,0
171,2024-01-01 01:25:00,2024-01-01 01:25:30,USDT,polygon,449,0.9978,0.9583,1.0687,156426742.13,0.9514,0
172,2024-01-01 01:25:30,2024-01-01 01:26:00,BTC,arbitrum,488,65078.3957,62381.5728,66397.6963,178047131.53,-0.342,0
173,2024-01-01 01:26:00,2024-01-01 01:26:30,OP,polygon,144,2.1202,2.025,2.1719,19355812.73,-0.6234,0
174,2024-01-01 01:26:30,2024-01-01 01:27:00,USDT,polygon,65,1.0045,0.9548,1.0688,43104544.55,-4.1149,0
175,2024-01-01 01:27:00,2024-01-01 01:27:30,USDT,optimism,276,0.9988,0.9702,1.0345,82304668.3,-4.4375,1
176,2024-01-01 01:27:30,2024-01-01 01:28:00,LINK,polygon,420,18.4043,17.3426,18.9112,281004960.26,2.0806,0
177,2024-01-01 01:28:00,2024-01-01 01:28:30,USDC,optimism,451,0.9887,0.9823,1.0424,388179266.58,-4.0027,0
178,2024-01-01 01:28:30,2024-01-01 01:29:00,LINK,polygon,269,18.6425,18.0954,18.9739,415662720.39,-3.7931,0
179,2024-01-01 01:29:00,2024-01-01 01:29:30,BNB,arbitrum,490,425.0845,405.7851,436.9908,17462600.08,1.6029,1
180,2024-01-01 01:29:30,2024-01-01 01:30:00,ETH,arbitrum,167,3291.4389,3024.3807,3262.5221,486235544.39,1.663,0
181,2024-01-01 01:30:00,2024-01-01 01:30:30,BNB,ethereum,286,411.7718,399.558,448.9204,481163475.58,4.8701,0
182,2024-01-01 01:30:30,2024-01-01 01:31:00,ARB,arbitrum,176,1.1966,1.1271,1.222,415678753.43,-1.3145,0
183,2024-01-01 01:31:00,2024-01-01 01:31:30,BNB,optimism,184,416.2146,410.9992,429.5177,231711861.68,1.792,0
184,2024-01-01 01:31:30,2024-01-01 01:32:00,BTC,polygon,292,63644.1147,62904.4292,67555.8006,45701514.37,0.4112,0
185,2024-01-01 01:32:00,2024-01-01 01:32:30,ETH,optimism,188,3282.8762,2997.131,3273.9287,111118098.5,-3.3094,0
186,2024-01-01 01:32:30,2024-01-01 01:33:00,BNB,optimism,416,418.8868,397.4923,425.9384,492068350.13,-4.7678,0
187,2024-01-01 01:33:00,2024-01-01 01:33:30,USDT,optimism,116,1.0056,0.951,1.0243,249697738.11,0.3345,0
188,2024-01-01 01:33:30,2024-01-01 01:34:00,ETH,polygon,437,3286.3946,3099.8987,3362.5341,343854293.26,-0.51,0
189,2024-01-01 01:34:00,2024-01-01 01:34:30,USDC,polygon,134,0.9985,0.9699,1.0376,210970945.41,-2.7181,0
190,2024-01-01 01:34:30,2024-01-01 01:35:00,BTC,ethereum,37,64821.6588,62123.2638,66378.2426,328638093.23,3.7669,0
191,2024-01-01 01:35:00,2024-01-01 01:35:30,MATIC,polygon,364,0.8301,0.8143,0.8809,417698702.94,2.2357,0
192,2024-01-01 01:35:30,2024-01-01 01:36:00,OP,optimism,10,2.1315,1.9564,2.1843,374269396.09,4.3421,0
193,2024-01-01 01:36:00,2024-01-01 01:36:30,MATIC,ethereum,388,0.8634,0.7959,0.8895,112534439.59,1.6219,0
194,2024-01-01 01:36:30,2024-01-01 01:37:00,USDC,polygon,79,0.9713,0.9355,1.0269,357144090.12,-1.0614,1
195,2024-01-01 01:37:00,2024-01-01 01:37:30,BNB,polygon,185,426.6865,394.5211,432.3803,488626028.4,-0.5735,0
196,2024-01-01 01:37:30,2024-01-01 01:38:00,OP,polygon,270,2.1546,1.9595,2.163,266068796.4,2.3967,0
197,2024-01-01 01:38:00,2024-01-01 01:38:30,USDT,ethereum,75,0.9733,0.9455,1.0205,375859278.49,0.4617,0
198,2024-01-01 01:38:30,2024-01-01 01:39:00,ETH,ethereum,158,3277.7296,3148.5581,3324.9202,73175441.76,4.4657,0
199,2024-01-01 01:39:00,2024-01-01 01:39:30,LINK,ethereum,430,18.5411,17.4714,19.5627,243045971.92,3.3945,0
200,2024-01-01 01:39:30,2024-01-01 01:40:00,SOL,optimism,332,177.1373,163.8124,185.6896,393099099.17,2.2539,0
201,2024-01-01 01:40:00,2024-01-01 01:40:30,SOL,polygon,60,179.0096,164.3969,183.5116,55470040.93,3.2453,0
202,2024-01-01 01:40:30,2024-01-01 01:41:00,USDC,optimism,249,1.0003,0.9825,1.0649,48231304.8,-0.1055,0
203,2024-01-01 01:41:00,2024-01-01 01:41:30,SOL,arbitrum,462,179.3005,167.4727,181.0083,462417630.86,-2.5116,0
204,2024-01-01 01:41:30,2024-01-01 01:42:00,LINK,optimism,188,18.2177,17.668,19.1899,253445269.5,-0.0022,1
205,2024-01-01 01:42:00,2024-01-01 01:42:30,ARB,arbitrum,310,1.1929,1.1825,1.273,334085511.2,-0.9431,0
206,2024-01-01 01:42:30,2024-01-01 01:43:00,ARB,polygon,495,1.2215,1.1211,1.2721,425809595.9,2.7909,1
